# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
34.625, 29.875, 5.123660787938315e-23, 5.06746790584513e-23 
34.875, 29.875, 1.719837652999751e-23, 1.7004889813220142e-23 
35.125, 29.875, 8.749484215492346e-24, 8.648574371460115e-24 
35.375, 29.875, 1.2363637095257062e-23, 1.2217737948556632e-23 
35.625, 29.875, 1.1355525333850322e-23, 1.1219160770075293e-23 
34.125, 30.125, 1.2998191788064552e-23, 1.2860900052236506e-23 
34.375, 30.125, 1.5626345707624912e-23, 1.5456989800700473e-23 
34.625, 30.125, 1.5557236975884307e-23, 1.5384320027342533e-23 
34.875, 30.125, 9.893610820748019e-24, 9.780845201955372e-24 
35.125, 30.125, 7.319503657743822e-24, 7.234118700328028e-24 
35.375, 30.125, 6.168376573204486e-23, 6.095137060922068e-23 
35.625, 30.125, 6.827175233133476e-24, 6.744693720435417e-24 
35.875, 30.125, 5.609618439529545e-24, 5.540680128005225e-24 
33.375, 30.375, 2.952224621123358e-23, 2.9230117534346503e-23 
33.625, 30.375, 2.1152978345949274e-23, 2.0938084948309497e-23 
33.875, 30.375, 9.390001206773572e-24, 9.292021307706807e-24 
34.125, 30.375, 1.234047990278879e-23, 1.2208313901166242e-23 
34.375, 30.375, 1.6553289989911057e-23, 1.63714453983346e-23 
34.625, 30.375, 1.405479115484437e-23, 1.389650013853224e-23 
34.875, 30.375, 2.67795354480533e-23, 2.6470763324476667e-23 
35.125, 30.375, 1.0564320282117165e-22, 1.0440314913489108e-22 
35.375, 30.375, 1.1670209619071328e-22, 1.1530796208963011e-22 
35.625, 30.375, 9.91696655554095e-23, 9.796435342900974e-23 
35.875, 30.375, 2.4078710554316692e-23, 2.378069973963513e-23 
36.125, 30.375, 4.890113021876553e-23, 4.8280468792318e-23 
36.375, 30.375, 5.053831087245453e-23, 4.988072183626119e-23 
32.875, 30.625, 3.3517850272829414e-23, 3.3192352314912975e-23 
33.125, 30.625, 5.1279165584695623e-23, 5.077142056418718e-23 
33.375, 30.625, 4.29491525393133e-23, 4.2515594993863994e-23 
33.625, 30.625, 1.0316242863026466e-23, 1.0209917214729442e-23 
33.875, 30.625, 1.880348165350436e-23, 1.8604501709638218e-23 
34.125, 30.625, 2.0306846554721686e-23, 2.0086364577956377e-23 
34.375, 30.625, 1.8391187605820423e-23, 1.8186439556021482e-23 
34.625, 30.625, 4.640557952834433e-23, 4.587679191004413e-23 
34.875, 30.625, 9.76099757840209e-23, 9.647741817292292e-23 
35.125, 30.625, 1.063036286076479e-22, 1.0504809282969001e-22 
35.375, 30.625, 3.110690636594708e-23, 3.0733039034800235e-23 
35.625, 30.625, 1.467686566979396e-22, 1.4497204500180127e-22 
35.875, 30.625, 1.4866605600914657e-22, 1.4679936682850583e-22 
36.125, 30.625, 9.57558614995257e-23, 9.452293046789467e-23 
36.375, 30.625, 5.39241192637377e-23, 5.321257695469979e-23 
36.625, 30.625, 7.520839235351147e-23, 7.419417159014436e-23 
36.875, 30.625, 1.1103969507049755e-22, 1.095234407051636e-22 
