# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
-10.625, 33.375, 5.587112858481983e-22, 5.56886732559682e-22 
-10.375, 33.375, 1.135529538483902e-22, 1.1317939313545248e-22 
-10.125, 33.375, 7.907171626199552e-23, 7.880832467926798e-23 
-9.875, 33.375, 9.221787790984121e-23, 9.190688740865287e-23 
-9.625, 33.375, 1.5145628944132069e-22, 1.5094330588496099e-22 
-9.375, 33.375, 1.813146065219679e-22, 1.8069563773607488e-22 
-9.125, 33.375, 1.5320166084342007e-22, 1.526719531592911e-22 
-8.875, 33.375, 4.1382369038707303e-23, 4.123757691624215e-23 
-8.625, 33.375, 4.24451736845908e-23, 4.229490993067775e-23 
-8.375, 33.375, 2.705032490546977e-23, 2.695344455759893e-23 
-8.125, 33.375, 4.9125560378359477e-23, 4.8947588940404907e-23 
-7.875, 33.375, 5.262781202038497e-23, 5.2434979043314437e-23 
-7.625, 33.375, 3.795280421028381e-23, 3.781106658978245e-23 
-7.375, 33.375, 5.048229441996811e-23, 5.028720611711469e-23 
-7.125, 33.375, 5.198473211445942e-23, 5.1775956922038716e-23 
-6.875, 33.375, 5.493459918721111e-23, 5.47056492546373e-23 
-6.625, 33.375, 4.8626472957402297e-23, 4.8417530851425035e-23 
-6.375, 33.375, 6.622463757945873e-23, 6.59324565197012e-23 
-6.125, 33.375, 4.036453698109481e-23, 4.018180446206165e-23 
-5.875, 33.375, 2.2469971222282283e-23, 2.2365662466085096e-23 
-5.625, 33.375, 3.06931849488825e-23, 3.054620204311034e-23 
-5.375, 33.375, 1.507975432140842e-22, 1.500587761648769e-22 
-5.125, 33.375, 1.730670912540411e-22, 1.7220833300979127e-22 
-4.875, 33.375, 2.307860120839674e-23, 2.2962632980673977e-23 
-4.625, 33.375, 5.781549952842334e-23, 5.752116298347778e-23 
-4.375, 33.375, 5.699694940794458e-23, 5.670433441608191e-23 
-4.125, 33.375, 1.8602726481021898e-22, 1.8506827968914548e-22 
-3.875, 33.375, 2.0225069635534353e-22, 2.0120378920690813e-22 
-13.625, 33.625, 1.4767203782154689e-22, 1.4724020528259842e-22 
-13.375, 33.625, 1.9244874270737353e-22, 1.9187523972796108e-22 
-13.125, 33.625, 1.794034340489898e-22, 1.7885596275396818e-22 
-12.875, 33.625, 7.382864421616843e-23, 7.359806142164919e-23 
-12.625, 33.625, 9.377239841789512e-23, 9.34726323833006e-23 
-12.375, 33.625, 1.0327584918819427e-22, 1.0294441343430189e-22 
-12.125, 33.625, 9.736925803956242e-23, 9.706087856888852e-23 
-11.875, 33.625, 6.251259924126857e-22, 6.231724743486776e-22 
-11.625, 33.625, 8.78807108370919e-22, 8.760978470883854e-22 
-11.375, 33.625, 2.1546887569109193e-22, 2.1480832773380248e-22 
-11.125, 33.625, 1.8185112744971197e-22, 1.8129371378668617e-22 
-10.875, 33.625, 6.094905576016851e-22, 6.076225854854941e-22 
-10.625, 33.625, 7.33185157548705e-22, 7.30938386290123e-22 
-10.375, 33.625, 2.879560501653491e-22, 2.870666984664237e-22 
-10.125, 33.625, 1.9537737170300058e-22, 1.9476588143611615e-22 
-9.875, 33.625, 1.5642761258601488e-22, 1.559315675312198e-22 
-9.625, 33.625, 8.784121536970603e-23, 8.755903624272598e-23 
-9.375, 33.625, 1.4761800287255026e-22, 1.471380327409167e-22 
-9.125, 33.625, 1.2514528406692312e-22, 1.2473321466576654e-22 
-8.875, 33.625, 6.63235999105865e-23, 6.610247548646384e-23 
-8.625, 33.625, 2.5819838020649695e-23, 2.5732687834798113e-23 
-8.375, 33.625, 3.0113616313866504e-23, 3.0010729682243284e-23 
-8.125, 33.625, 2.5515796141200173e-23, 2.5427564774836712e-23 
-7.875, 33.625, 3.624492854574949e-23, 3.611809997740655e-23 
-7.625, 33.625, 3.723177022024112e-23, 3.7099559879035925e-23 
-7.375, 33.625, 4.6208771623297156e-23, 4.603911546008891e-23 
-7.125, 33.625, 3.939807515345869e-23, 3.924743829689412e-23 
-6.875, 33.625, 4.9451802565015764e-23, 4.925522988901948e-23 
-6.625, 33.625, 1.35765235841584e-22, 1.352049853918061e-22 
-6.375, 33.625, 1.1657977748798958e-22, 1.160836468673774e-22 
-6.125, 33.625, 1.4020183020207113e-23, 1.3958903700177433e-23 
-5.875, 33.625, 1.9741684551853417e-23, 1.965312600028411e-23 
-5.625, 33.625, 1.7119298630881365e-22, 1.7040533829812918e-22 
-5.375, 33.625, 2.537805571983012e-22, 2.5259013969432685e-22 
-5.125, 33.625, 2.8105993607848007e-22, 2.7972387200184357e-22 
-4.875, 33.625, 2.021498083308938e-22, 2.0117613618844751e-22 
-4.625, 33.625, 3.8700074866808527e-22, 3.8511237495048333e-22 
-4.375, 33.625, 1.0964184204095996e-22, 1.0910236843561007e-22 
-4.125, 33.625, 2.541161155387552e-22, 2.528603916574977e-22 
-3.875, 33.625, 2.7124348617338376e-22, 2.6989737403471095e-22 
-3.625, 33.625, 8.051598411993893e-23, 8.011469629397964e-23 
-3.375, 33.625, 1.235555244235787e-23, 1.229336463154388e-23 
-3.125, 33.625, 1.7796130367143324e-23, 1.770534678350527e-23 
-2.875, 33.625, 2.0380773938161313e-23, 2.0275416936939667e-23 
-2.625, 33.625, 2.902542535879973e-23, 2.8873403273716677e-23 
-2.375, 33.625, 7.207831422391974e-23, 7.169533004782014e-23 
-2.125, 33.625, 8.53786967207016e-23, 8.491668909800194e-23 
-1.875, 33.625, 2.60205254760112e-22, 2.5877175624016194e-22 
-1.625, 33.625, 3.984037076755996e-22, 3.9616988203625517e-22 
-1.375, 33.625, 3.035849000026592e-22, 3.0185220534611303e-22 
-1.125, 33.625, 2.4023920127875796e-22, 2.3884329215607486e-22 
-0.875, 33.625, 3.7156153802629714e-22, 3.6936429074685113e-22 
-0.625, 33.625, 3.0164646036312296e-22, 2.9983157350036694e-22 
-15.875, 33.875, 2.079722126131815e-23, 2.073837803162907e-23 
-15.625, 33.875, 2.877942090226326e-23, 2.869944776650599e-23 
-15.375, 33.875, 2.7859674424044043e-23, 2.778296264376984e-23 
-15.125, 33.875, 5.189240111971094e-23, 5.1750127976331523e-23 
-14.875, 33.875, 6.586417648071302e-23, 6.568437492213158e-23 
-14.625, 33.875, 8.752423875851097e-23, 8.728634153527116e-23 
-14.375, 33.875, 4.9229120941095517e-23, 4.9094778560072596e-23 
-14.125, 33.875, 2.8171942365405766e-23, 2.809426787773367e-23 
-13.875, 33.875, 3.639214505142108e-23, 3.629071871232835e-23 
-13.625, 33.875, 8.059270237625129e-23, 8.036567901329275e-23 
-13.375, 33.875, 1.2257671970121557e-22, 1.2222463552467818e-22 
-13.125, 33.875, 1.6278655602252198e-22, 1.623073221262191e-22 
-12.875, 33.875, 1.4071492455507315e-22, 1.4029059497986936e-22 
-12.625, 33.875, 1.1101379522142835e-22, 1.1067337350197912e-22 
-12.375, 33.875, 1.1379354038930128e-22, 1.1344563270233592e-22 
-12.125, 33.875, 9.238307209986509e-23, 9.210451416827598e-23 
-11.875, 33.875, 9.320336166970456e-23, 9.292625513368175e-23 
-11.625, 33.875, 5.567288784041058e-22, 5.550847235075399e-22 
-11.375, 33.875, 4.721579552355309e-22, 4.707754888410234e-22 
-11.125, 33.875, 2.847753803912755e-22, 2.8394572548016395e-22 
-10.875, 33.875, 2.973580909987008e-22, 2.9649190020383885e-22 
-10.625, 33.875, 5.02705420759692e-22, 5.01241268910936e-22 
-10.375, 33.875, 3.1939145381369503e-22, 3.1846134323870047e-22 
-10.125, 33.875, 1.6572895276723386e-22, 1.652418960799428e-22 
-9.875, 33.875, 2.428944256993978e-22, 2.4217056070503314e-22 
-9.625, 33.875, 2.058666656147594e-22, 2.0524464945799225e-22 
-9.375, 33.875, 1.1696257786301711e-22, 1.166043518320962e-22 
-9.125, 33.875, 7.836100879673771e-23, 7.81177738693165e-23 
-8.875, 33.875, 7.999358173353204e-23, 7.974197631429111e-23 
-8.625, 33.875, 6.717200275410469e-23, 6.695795173757065e-23 
-8.375, 33.875, 5.682033482427524e-23, 5.663709350587034e-23 
-8.125, 33.875, 4.9731761949621285e-23, 4.9569422014651916e-23 
