# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
0.125, 19.625, 4.144194736404205e-23, 4.114415522470878e-23 
0.375, 19.625, 9.058075648571204e-24, 8.993696218980947e-24 
0.625, 19.625, 1.6541688765989274e-23, 1.642601385294351e-23 
0.875, 19.625, 1.2294872655842577e-23, 1.2210522946805123e-23 
1.125, 19.625, 2.1633180385441666e-23, 2.1487457393712626e-23 
1.375, 19.625, 4.767120071224568e-23, 4.735596460736118e-23 
1.625, 19.625, 4.2891774826275055e-23, 4.261558069158696e-23 
1.875, 19.625, 3.246993177937173e-23, 3.226818469039709e-23 
2.125, 19.625, 2.2605560724197697e-23, 2.2470212565670082e-23 
2.375, 19.625, 1.450909084339412e-23, 1.4425497835007695e-23 
2.625, 19.625, 7.228251018085996e-24, 7.187958250291983e-24 
2.875, 19.625, 1.6733310681768604e-23, 1.6642770737866314e-23 
3.125, 19.625, 1.8556637627853703e-23, 1.8459267602213253e-23 
3.375, 19.625, 1.2139083179425016e-23, 1.2077372889719786e-23 
3.625, 19.625, 9.854635389390612e-24, 9.806033282260444e-24 
3.875, 19.625, 1.3281742945021165e-23, 1.3218339454315352e-23 
4.125, 19.625, 1.639414572143364e-23, 1.6318477462106727e-23 
4.375, 19.625, 5.976874553768673e-23, 5.950233217630741e-23 
4.625, 19.625, 5.932254235480709e-23, 5.906474223356327e-23 
4.875, 19.625, 1.1940642161596307e-22, 1.1889415089763114e-22 
5.125, 19.625, 1.6254298638829686e-23, 1.6185468979616437e-23 
5.375, 19.625, 3.4403050037558396e-23, 3.4259281124638055e-23 
-2.375, 19.875, 2.5118758968384253e-23, 2.4938192910292272e-23 
-2.125, 19.875, 2.942331609015868e-23, 2.9211807800742606e-23 
-1.875, 19.875, 5.815050749738e-23, 5.77304564816836e-23 
-1.625, 19.875, 4.17220257621323e-23, 4.141918344401881e-23 
-1.375, 19.875, 3.1385797291054824e-23, 3.11577495780147e-23 
-1.125, 19.875, 5.331735670470637e-23, 5.2929882775177034e-23 
-0.875, 19.875, 5.316145986608184e-23, 5.277296785786441e-23 
-0.625, 19.875, 3.139612636836565e-23, 3.116542009832792e-23 
-0.375, 19.875, 1.5536112033730209e-22, 1.5422250985684845e-22 
-0.125, 19.875, 1.9969571492589988e-22, 1.9824783249211797e-22 
0.125, 19.875, 7.486262794958646e-23, 7.432570683322165e-23 
0.375, 19.875, 1.2774205911401292e-23, 1.2684049094387568e-23 
0.625, 19.875, 2.3313697272491274e-23, 2.3152241728119453e-23 
0.875, 19.875, 1.7132648733009015e-23, 1.701613373684707e-23 
1.125, 19.875, 5.97913904238473e-23, 5.939214022873431e-23 
1.375, 19.875, 5.646704180310406e-23, 5.609695596725346e-23 
1.625, 19.875, 2.9706945586689406e-23, 2.9517396670866395e-23 
1.875, 19.875, 2.4024274997616953e-23, 2.3876413937095015e-23 
2.125, 19.875, 1.705310194332437e-23, 1.6951999459692947e-23 
2.375, 19.875, 9.155655182831846e-24, 9.103121715696564e-24 
2.625, 19.875, 7.656810462759962e-24, 7.614165605969677e-24 
2.875, 19.875, 1.6390482196104448e-23, 1.6301876110129822e-23 
3.125, 19.875, 1.8000251898651524e-23, 1.790588798784128e-23 
3.375, 19.875, 7.299800849388392e-24, 7.262726703340173e-24 
3.625, 19.875, 6.204983116529918e-24, 6.174310816361355e-24 
3.875, 19.875, 6.971848002021492e-24, 6.938224237760115e-24 
4.125, 19.875, 7.884380294438809e-24, 7.84760264513621e-24 
4.375, 19.875, 1.886647730661666e-23, 1.8781456363124225e-23 
4.625, 19.875, 5.046082199712279e-23, 5.0239136281077507e-23 
4.875, 19.875, 4.716161198212615e-23, 4.695722263043369e-23 
5.125, 19.875, 3.463354480215181e-23, 3.448537507251491e-23 
5.375, 19.875, 3.042669117183953e-23, 3.02982107868942e-23 
5.625, 19.875, 2.72502165469969e-23, 2.7136664147760916e-23 
5.875, 19.875, 3.328972345990558e-23, 3.315219455825103e-23 
6.125, 19.875, 3.7750876290211994e-23, 3.759576085131664e-23 
6.375, 19.875, 2.658296660543224e-23, 2.6474333309037014e-23 
6.625, 19.875, 2.259154641235829e-22, 2.249924007428148e-22 
6.875, 19.875, 3.207589754460432e-22, 3.194399791141204e-22 
7.125, 19.875, 3.365439183309587e-22, 3.35151185256509e-22 
7.375, 19.875, 2.1308024134082167e-22, 2.1219285429282273e-22 
7.625, 19.875, 2.2956633734606248e-23, 2.2860981910511297e-23 
7.875, 19.875, 1.6456162358599094e-23, 1.6388450826551342e-23 
-4.125, 20.125, 1.153143168485689e-22, 1.1458831909234108e-22 
-3.875, 20.125, 1.6350447059177153e-22, 1.6244699106024254e-22 
-3.625, 20.125, 7.522945347340459e-23, 7.472985501009499e-23 
-3.375, 20.125, 3.824861838457111e-23, 3.798797668629535e-23 
-3.125, 20.125, 8.847156585819709e-24, 8.785334196011764e-24 
-2.875, 20.125, 1.0443552563774086e-23, 1.036915252994403e-23 
-2.625, 20.125, 2.595588088733437e-23, 2.5767870930726964e-23 
-2.375, 20.125, 3.07001391932308e-23, 3.047639729759455e-23 
-2.125, 20.125, 1.8178642177556657e-23, 1.8046501006472822e-23 
-1.875, 20.125, 2.3688685028870605e-23, 2.351648929436735e-23 
