# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
93.375, 47.625, 2.7690490454841854e-23, 2.763258611365945e-23 
93.625, 47.625, 1.9986623769444084e-23, 1.9943907207111722e-23 
93.875, 47.625, 2.94280379510998e-23, 2.9364569901890697e-23 
94.125, 47.625, 3.0436780364410456e-23, 3.0370845729520465e-23 
94.375, 47.625, 2.3272089129185407e-23, 2.3221452700993912e-23 
94.625, 47.625, 7.623459621372998e-24, 7.606799260320902e-24 
94.875, 47.625, 2.567405018942318e-23, 2.561769639167621e-23 
95.125, 47.625, 2.834012350081244e-23, 2.827681080943635e-23 
95.375, 47.625, 1.520174300862929e-23, 1.5167166719823815e-23 
95.625, 47.625, 9.471010834305236e-24, 9.449085809868478e-24 
95.875, 47.625, 2.1003127382364213e-23, 2.095403936649751e-23 
96.125, 47.625, 2.709325665737472e-23, 2.7029543015869545e-23 
96.375, 47.625, 2.893781986075919e-23, 2.886934985234859e-23 
96.625, 47.625, 2.4674396460135493e-23, 2.4615657220927923e-23 
96.875, 47.625, 4.727121582390949e-23, 4.7157146683581276e-23 
97.125, 47.625, 1.962398828637184e-23, 1.9575839824203192e-23 
97.375, 47.625, 9.03396595010104e-24, 9.011435004532678e-24 
97.625, 47.625, 5.447259171242237e-24, 5.433453081228627e-24 
97.875, 47.625, 1.2188349911551261e-23, 1.2157058815981853e-23 
98.125, 47.625, 2.2088982835342014e-23, 2.2031379748201595e-23 
98.375, 47.625, 3.2866657092091635e-23, 3.277961779822799e-23 
98.625, 47.625, 3.54537482238715e-23, 3.5358422409000127e-23 
86.875, 47.875, 1.7324357326255302e-23, 1.730384303328799e-23 
87.125, 47.875, 4.089717355746889e-23, 4.084775985006421e-23 
87.375, 47.875, 9.197193189365361e-23, 9.1858589826715e-23 
87.625, 47.875, 1.0188604960318158e-22, 1.0175803312485989e-22 
87.875, 47.875, 5.819346385291363e-23, 5.811981461464207e-23 
88.125, 47.875, 2.4433586289585143e-23, 2.4402550456947595e-23 
88.375, 47.875, 1.77525465953793e-23, 1.772991510153614e-23 
88.625, 47.875, 1.378591121115394e-23, 1.3768148442380607e-23 
88.875, 47.875, 1.6972555351000686e-23, 1.6950346560454287e-23 
89.125, 47.875, 2.0863926267146743e-23, 2.0836217140188373e-23 
89.375, 47.875, 2.869572515165686e-23, 2.865705295008221e-23 
89.625, 47.875, 2.662102281376035e-23, 2.6584900744502653e-23 
89.875, 47.875, 1.1293110393278097e-23, 1.127761395812166e-23 
90.125, 47.875, 7.629347977906653e-24, 7.618725348577629e-24 
90.375, 47.875, 1.5367689933651984e-23, 1.5345983486204138e-23 
90.625, 47.875, 2.1002509385236837e-23, 2.097242101512968e-23 
90.875, 47.875, 2.162715109939638e-23, 2.1595314313906197e-23 
91.125, 47.875, 1.822637252597843e-23, 1.8198701198362007e-23 
91.375, 47.875, 3.673511432929699e-23, 3.6677648454124087e-23 
91.625, 47.875, 6.385044378684341e-23, 6.374688860540165e-23 
91.875, 47.875, 6.814585598474957e-23, 6.803135267562332e-23 
92.125, 47.875, 4.8913332645552325e-23, 4.88276173375478e-23 
92.375, 47.875, 2.5827203608179872e-23, 2.578008146286988e-23 
92.625, 47.875, 2.774969956597128e-23, 2.7697068333224656e-23 
92.875, 47.875, 3.521912844161293e-23, 3.5150455740829953e-23 
93.125, 47.875, 2.994469328935042e-23, 2.9884923631368234e-23 
93.375, 47.875, 2.430441791289182e-23, 2.425478502559799e-23 
93.625, 47.875, 1.6785322400221347e-23, 1.6750086411533256e-23 
93.875, 47.875, 2.0693900765671695e-23, 2.0649746762278827e-23 
94.125, 47.875, 1.5375131880074678e-23, 1.5342179391413365e-23 
94.375, 47.875, 2.4667624125358242e-23, 2.461451979934954e-23 
94.625, 47.875, 1.4000037761979358e-23, 1.3969764680236376e-23 
94.875, 47.875, 2.2993477040722127e-23, 2.2942868345968157e-23 
95.125, 47.875, 2.3105840436902883e-23, 2.3054049453802723e-23 
95.375, 47.875, 1.8191386902428118e-23, 1.8149875364508673e-23 
95.625, 47.875, 1.9847917964463436e-23, 1.980161441673439e-23 
95.875, 47.875, 2.4344859149578744e-23, 2.428689069403144e-23 
96.125, 47.875, 3.541718584704781e-23, 3.533233983574584e-23 
96.375, 47.875, 3.9874575395475215e-23, 3.9778474308898026e-23 
96.625, 47.875, 2.189667392975752e-23, 2.1843584304811443e-23 
96.875, 47.875, 4.2325034253052466e-23, 4.222008488889761e-23 
97.125, 47.875, 5.039115178161982e-23, 5.026414750436653e-23 
97.375, 47.875, 5.949338242893748e-23, 5.93410290210265e-23 
97.625, 47.875, 5.506831274470668e-23, 5.492506213788704e-23 
97.875, 47.875, 4.463044104007413e-23, 4.4511541798533237e-23 
98.125, 47.875, 3.3604737483105377e-23, 3.3513832433824263e-23 
98.375, 47.875, 3.4316281600036537e-23, 3.422206246142137e-23 
98.625, 47.875, 3.943375329033828e-23, 3.932388705740691e-23 
98.875, 47.875, 4.733377130168154e-23, 4.719841601664421e-23 
99.125, 47.875, 5.2391570344038227e-23, 5.223779274481485e-23 
99.375, 47.875, 5.446488995483058e-23, 5.430091065848517e-23 
99.625, 47.875, 7.647322032441034e-23, 7.623701523573084e-23 
99.875, 47.875, 6.026335026222702e-23, 6.007226574468233e-23 
