# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
36.375, 50.375, 1.167988756625259e-23, nan 
36.625, 50.375, 8.186521177282537e-24, nan 
36.875, 50.375, 5.9544353671704985e-24, nan 
37.125, 50.375, 1.0387435863231565e-23, nan 
37.375, 50.375, 2.1085839630990356e-23, nan 
37.625, 50.375, 2.0777823373692286e-23, nan 
37.875, 50.375, 1.2025359122460563e-23, nan 
38.125, 50.375, 1.455018004587904e-23, nan 
28.125, 50.625, 2.3084876091992815e-22, nan 
28.375, 50.625, 3.688903872489795e-22, nan 
28.625, 50.625, 4.314088601811306e-22, nan 
28.875, 50.625, 3.235626357969653e-22, nan 
29.125, 50.625, 1.55367994672364e-22, nan 
29.375, 50.625, 1.2933899144725553e-22, nan 
29.625, 50.625, 2.8344252310917673e-22, nan 
29.875, 50.625, 2.668344625629043e-22, nan 
30.125, 50.625, 2.20530839106971e-22, nan 
30.375, 50.625, 2.9135330654089677e-22, nan 
30.625, 50.625, 1.4387036322186348e-22, nan 
30.875, 50.625, 8.881814526056914e-23, nan 
31.125, 50.625, 9.466625922109479e-23, nan 
31.375, 50.625, 1.0226648800880824e-22, nan 
31.625, 50.625, 1.8130090411343257e-22, nan 
31.875, 50.625, 1.8442046990867696e-22, nan 
32.125, 50.625, 1.2741733780946268e-22, nan 
32.375, 50.625, 1.183706864585007e-22, nan 
32.625, 50.625, 9.513396271211196e-23, nan 
32.875, 50.625, 1.0107349417909332e-22, nan 
33.125, 50.625, 7.068490034133013e-23, nan 
33.375, 50.625, 4.7958337826013194e-23, nan 
33.625, 50.625, 4.242151231472753e-23, nan 
33.875, 50.625, 1.7448677244290567e-23, nan 
34.125, 50.625, 1.0315639942017361e-23, nan 
34.375, 50.625, 2.6837571574419675e-23, nan 
34.625, 50.625, 2.2933559712421956e-23, nan 
34.875, 50.625, 2.650891088690849e-23, nan 
35.125, 50.625, 4.129416484907942e-23, nan 
35.375, 50.625, 2.98936670766435e-23, nan 
35.625, 50.625, 5.585154233518844e-24, nan 
35.875, 50.625, 5.073478845574633e-24, nan 
36.125, 50.625, 3.651287666641546e-24, nan 
36.375, 50.625, 1.6588592996312917e-23, nan 
36.625, 50.625, 1.6325552967903257e-23, nan 
36.875, 50.625, 4.532097949453063e-24, nan 
37.125, 50.625, 7.43147501917097e-24, nan 
37.375, 50.625, 2.660285301731648e-23, nan 
37.625, 50.625, 2.8188192477209663e-23, nan 
37.875, 50.625, 1.8000894212170824e-23, nan 
38.125, 50.625, 2.0744962393161731e-23, nan 
38.375, 50.625, 1.920057566613782e-23, nan 
38.625, 50.625, 5.925712198361066e-23, nan 
38.875, 50.625, 3.300930845606662e-23, nan 
21.125, 50.875, 7.334310322687731e-24, nan 
21.375, 50.875, 1.2935765665303233e-23, nan 
21.625, 50.875, 7.97249419826177e-24, nan 
21.875, 50.875, 4.34906522205802e-24, nan 
22.125, 50.875, 3.595066597340163e-24, nan 
22.375, 50.875, 2.3729407340230528e-24, nan 
22.625, 50.875, 7.955070965343313e-24, nan 
22.875, 50.875, 1.6184690159562886e-23, nan 
23.125, 50.875, 1.0334417037549618e-23, nan 
23.375, 50.875, 9.303839295293332e-24, nan 
23.625, 50.875, 3.2218812105956965e-23, nan 
23.875, 50.875, 4.6595852863402586e-23, nan 
24.125, 50.875, 3.2218997470859974e-23, nan 
24.375, 50.875, 1.5881190936493034e-23, nan 
24.625, 50.875, 2.2026638973471405e-23, nan 
24.875, 50.875, 2.929477602852368e-23, nan 
25.125, 50.875, 2.8853261077680223e-23, nan 
25.375, 50.875, 3.1304838345476757e-23, nan 
25.625, 50.875, 2.2431250860064154e-23, nan 
25.875, 50.875, 5.533469965935802e-23, nan 
26.125, 50.875, 8.866011738477295e-23, nan 
26.375, 50.875, 3.4852963654212806e-22, nan 
26.625, 50.875, 4.77733075542303e-22, nan 
26.875, 50.875, 2.423129514081783e-22, nan 
27.125, 50.875, 1.2812088083878206e-22, nan 
27.375, 50.875, 1.4427482214137716e-22, nan 
27.625, 50.875, 2.15415134687358e-22, nan 
27.875, 50.875, 2.62203005064986e-22, nan 
28.125, 50.875, 2.461773053904971e-22, nan 
28.375, 50.875, 3.574991092559114e-22, nan 
28.625, 50.875, 4.121039292083566e-22, nan 
28.875, 50.875, 3.885487274536835e-22, nan 
29.125, 50.875, 2.9807069644884615e-22, nan 
29.375, 50.875, 2.719397257062854e-22, nan 
29.625, 50.875, 3.7279115468830024e-22, nan 
29.875, 50.875, 3.4621276885124397e-22, nan 
30.125, 50.875, 3.6296762585708115e-22, nan 
30.375, 50.875, 3.620463224402923e-22, nan 
30.625, 50.875, 1.831065967423516e-22, nan 
30.875, 50.875, 7.955728245994491e-23, nan 
31.125, 50.875, 1.1444922900712037e-22, nan 
31.375, 50.875, 1.3951062056840785e-22, nan 
31.625, 50.875, 1.5949995523438385e-22, nan 
31.875, 50.875, 1.452006820477081e-22, nan 
32.125, 50.875, 8.431070031093259e-23, nan 
32.375, 50.875, 8.34718387224738e-23, nan 
32.625, 50.875, 7.743400669834319e-23, nan 
32.875, 50.875, 6.213388863983475e-23, nan 
33.125, 50.875, 7.211927848564485e-23, nan 
33.375, 50.875, 6.454280639678519e-23, nan 
33.625, 50.875, 5.717649123847495e-23, nan 
33.875, 50.875, 3.65718773909483e-23, nan 
34.125, 50.875, 1.6043789680042827e-23, nan 
34.375, 50.875, 2.961142461627946e-23, nan 
34.625, 50.875, 3.208128448701715e-23, nan 
34.875, 50.875, 4.0780956856499447e-23, nan 
35.125, 50.875, 6.713340572802774e-23, nan 
35.375, 50.875, 5.575921878308503e-23, nan 
35.625, 50.875, 2.3245261116539362e-23, nan 
35.875, 50.875, 9.099727314968186e-24, nan 
36.125, 50.875, 6.096958381764614e-24, nan 
36.375, 50.875, 1.0323385507982402e-23, nan 
36.625, 50.875, 1.77039128717079e-23, nan 
36.875, 50.875, 1.5608662915281387e-23, nan 
37.125, 50.875, 1.0449570947261097e-23, nan 
37.375, 50.875, 8.498517493649626e-24, nan 
37.625, 50.875, 1.147216801792989e-23, nan 
37.875, 50.875, 1.668735806005652e-23, nan 
38.125, 50.875, 2.0053609064145637e-23, nan 
38.375, 50.875, 2.4392011888960967e-23, nan 
38.625, 50.875, 1.6414254255765986e-23, nan 
38.875, 50.875, 7.722500483806532e-24, nan 
39.125, 50.875, 1.2199951931472203e-23, nan 
39.375, 50.875, 1.9327201371878444e-23, nan 
39.625, 50.875, 1.959438841466544e-23, nan 
14.875, 51.125, 1.920771105586168e-23, nan 
15.125, 51.125, 1.5540564507905697e-23, nan 
15.375, 51.125, 1.9849737705092006e-23, nan 
15.625, 51.125, 3.377759044032303e-23, nan 
15.875, 51.125, 5.46493325522386e-23, nan 
16.125, 51.125, 1.2826197600741745e-22, nan 
16.375, 51.125, 1.767945229418012e-22, nan 
16.625, 51.125, 5.773542194846131e-23, nan 
16.875, 51.125, 4.716540348265879e-23, nan 
17.125, 51.125, 3.1210648690676646e-23, nan 
17.375, 51.125, 1.2204615594420072e-23, nan 
17.625, 51.125, 6.381864072011342e-24, nan 
17.875, 51.125, 1.0795412853074435e-23, nan 
18.125, 51.125, 1.2870673917231514e-23, nan 
18.375, 51.125, 1.1172289022334001e-23, nan 
18.625, 51.125, 1.3071490539411877e-23, nan 
18.875, 51.125, 1.540912427302841e-23, nan 
19.125, 51.125, 1.2305020140940676e-23, nan 
19.375, 51.125, 7.178949028836305e-24, nan 
19.625, 51.125, 9.777251095001349e-24, nan 
19.875, 51.125, 5.554541736981343e-24, nan 
20.125, 51.125, 6.311427031658006e-24, nan 
20.375, 51.125, 9.162625094559636e-24, nan 
20.625, 51.125, 1.1701852386395781e-23, nan 
20.875, 51.125, 6.68237157243719e-24, nan 
21.125, 51.125, 5.7299115651046646e-24, nan 
21.375, 51.125, 1.3711309833978624e-23, nan 
21.625, 51.125, 1.571556563500541e-23, nan 
21.875, 51.125, 1.700186392629382e-23, nan 
22.125, 51.125, 9.964007021115993e-24, nan 
22.375, 51.125, 1.4155797269073516e-23, nan 
22.625, 51.125, 1.5762917489228372e-23, nan 
22.875, 51.125, 6.031471646913515e-24, nan 
23.125, 51.125, 8.307307302669456e-24, nan 
23.375, 51.125, 1.098744084005823e-23, nan 
23.625, 51.125, 1.528227120042745e-23, nan 
23.875, 51.125, 2.2272229233053562e-23, nan 
24.125, 51.125, 2.2041277806237034e-23, nan 
24.375, 51.125, 3.176980575681905e-23, nan 
24.625, 51.125, 3.9536798746022224e-23, nan 
24.875, 51.125, 2.9512282682567476e-23, nan 
25.125, 51.125, 2.978761006133253e-23, nan 
25.375, 51.125, 2.847078450107284e-23, nan 
25.625, 51.125, 4.1386193512263414e-23, nan 
25.875, 51.125, 5.920835309649822e-23, nan 
26.125, 51.125, 9.621158813276541e-23, nan 
26.375, 51.125, 1.129879868868308e-22, nan 
26.625, 51.125, 5.257555269025371e-22, nan 
26.875, 51.125, 5.594614728072826e-22, nan 
27.125, 51.125, 2.287015019362557e-22, nan 
27.375, 51.125, 1.3886947246923398e-22, nan 
27.625, 51.125, 1.2393180000833637e-22, nan 
27.875, 51.125, 1.5116262539070404e-22, nan 
28.125, 51.125, 2.263237803345015e-22, nan 
28.375, 51.125, 2.8083628358859837e-22, nan 
28.625, 51.125, 1.398583296870894e-22, nan 
28.875, 51.125, 1.9311679493169233e-22, nan 
29.125, 51.125, 2.8103877725144056e-22, nan 
29.375, 51.125, 3.2530321241764973e-22, nan 
29.625, 51.125, 3.62335451109908e-22, nan 
29.875, 51.125, 2.4997209728854816e-22, nan 
30.125, 51.125, 1.4700971732751878e-22, nan 
30.375, 51.125, 1.6201507684443834e-22, nan 
30.625, 51.125, 1.319132827052676e-22, nan 
30.875, 51.125, 9.171612201773125e-23, nan 
31.125, 51.125, 1.3868010174463764e-22, nan 
31.375, 51.125, 1.3965575389826374e-22, nan 
31.625, 51.125, 1.1464076924992064e-22, nan 
31.875, 51.125, 1.7742132629559254e-22, nan 
32.125, 51.125, 1.696684472138931e-22, nan 
32.375, 51.125, 1.0560387155475834e-22, nan 
32.625, 51.125, 8.910304642737191e-23, nan 
32.875, 51.125, 7.936087795640267e-23, nan 
33.125, 51.125, 4.455162263288252e-23, nan 
33.375, 51.125, 5.715254727383429e-23, nan 
33.625, 51.125, 5.317870008146498e-23, nan 
33.875, 51.125, 1.9757974684113823e-23, nan 
34.125, 51.125, 1.608945833169801e-23, nan 
