# utc [-], et [s], R_T_spoint [km], R_R_spoint [km], R_MEXspointTGO [km], r_MEXTGO [km], spoint_lon [deg], spoint_lat [deg], midpoint_lon [deg], midpoint_lat [deg], emis_MEX [deg], emis_TGO [deg], emis_avg [deg], S_mutualfootprint [km^2], rho_data [-], rho_modelGRS [-], rho_modelFREND [-], dc_data [-], dc_modelGRS [-], dc_modelFREND [-], AGC_data [-], P_R_data [W], P_R_modelGRS [W], P_R_modelFREND [W], P_R_modelGRS_maxcont [W], P_R_modelFREND_maxcont [W], P_R_modelGRS_mincont [W], P_R_modelFREND_mincont [W], P_R_modelGRS_spoint [W], P_R_modelFREND_spoint [W], P_R_freespace [W], gamma_spoint [deg], C_spoint [-], topography_spoint [-], gamma_GRS_maxcont [deg], C_GRS_maxcont [-], topography_GRS_maxcont [-], gamma_FREND_maxcont [deg], C_FREND_maxcont [-], topography_FREND_maxcont [-], rho_modelGRS_spoint [-], dc_modelGRS_spoint [-], rho_modelGRS_maxcont [-], dc_modelGRS_maxcont [-], rho_modelFREND_spoint [-], dc_modelFREND_spoint [-], rho_modelFREND_maxcont [-], dc_modelFREND_maxcont [-], G_T_freespace [-], G_R_freespace [-], angle_MEX2TGO [deg], angle_TGO2MEX [deg], lat_GRS_maxcont [deg], lon_GRS_maxcont [deg], lat_FREND_maxcont [deg], lon_FREND_maxcont [deg], MEXbs_lon [deg], MEXbs_lat [deg], TGObs_lon [deg], TGObs_lat [deg] 
2025 APR 05 16:56:04, 797144233.1856562, 1223.488767526924, 1220.7666825654833, 2444.255450092407, 2395.9881015101155, -46.05499465986937, 66.92588801827227, -46.01014982716293, 66.93204111171524, 78.60643076364349, 78.61630429533325, 78.61136752948838, 1918390.01658787,  nan, 0.1171233144745508,  nan,  nan, 3.730922957773697,  nan, 124.63744882972406, 8.042637327833581e-15, 1.272675338464573e-16,  nan, 8.076540950987062e-17,  1.549549455293284e-22, 1.258419060601809e-25,  4.1040283084077584e-24, 1.8284582723785112e-18,  nan, 2.9527747651636755e-17, 0.8990934662710842, 998408.5171097926, 257.4597983479631, 0.2584091027066393, 764578.8653291994, 11353.854229201035, 84.87914988368277, 654.6394043375157, 0.0395557418296315, 0.117498294007707, 3.737264922697943, 0.117498294007707, 3.737264922697943,  nan,  nan,  nan,  nan, 0.0544821019147796, 0.2086001458127219, 71.57005895453585, 71.81224739137753, 66.875, -45.875, 49.875, -61.625, -16.152367230084852, 55.20444296562671, -94.83180396351428, 67.79713613849593
2025 APR 05 16:56:05, 797144234.1873256, 1221.2321738067794, 1217.9853838663046, 2439.217557673084, 2390.419204271833, -46.03054011201598, 66.960200569257, -45.97624636847622, 66.96467275727512, 78.53179031514127, 78.5414867957878, 78.53663855546453, 1932117.1964879008,  nan, 0.1174913038739454,  nan,  nan, 3.730180210221744,  nan, 124.58813787069154, 7.954497659549773e-15, 2.2322700368438953e-16,  nan, 1.897909535069052e-16,  1.5571028357745563e-22, 1.2787631356521848e-25,  4.123173946773721e-24, 4.754953538355539e-19,  nan, 2.9391849051283737e-17, 1.4184571432758517, 998408.5171097926, 65.81661822660402, 0.2050903361089435, 412489.4653993306, 26178.426461208437, 84.86943192834407, 654.6394043375157, 0.039557547233643, 0.1179018175828557, 3.737264922697943, 0.1179018175828557, 3.737264922697943,  nan,  nan,  nan,  nan, 0.054220687037158, 0.2076724363427254, 71.60888611670009, 71.86280132432815, 66.875, -45.625, 49.875, -61.625, -16.14678294174494, 55.2671243647797, -94.75007737793922, 67.83554339126003
2025 APR 05 16:56:06, 797144235.1889951, 1218.9819691117468, 1215.200144561787, 2434.182113673534, 2384.849135887001, -46.006250266045605, 66.99449813118962, -45.94226319324976, 66.99727628160593, 78.45700673615185, 78.466313232038, 78.46165998409492, 1946026.5179583249,  nan, 0.1178608123656784,  nan,  nan, 3.7295025473686367,  nan, 124.63610512171496, 8.040235549800499e-15, 1.0246699213065979e-16,  nan, 6.698457775997194e-17,  1.564634861065285e-22, 1.2995014341763069e-25,  4.142260068656688e-24, 1.911786851513368e-19,  nan, 2.925683144387465e-17, 1.933751135804329, 998408.5171097926, 26.012847687045287, 0.3073894232922546, 396962.67099651735, 9063.124112728749, 84.85987738254848, 654.6394043375157, 0.0395593257147695, 0.1183039133552449, 3.737264922697943, 0.1183039133552449, 3.737264922697943,  nan,  nan,  nan,  nan, 0.0539608501268767, 0.2067469711323454, 71.64764386999424, 71.91342283833688, 66.875, -45.375, 49.875, -61.625, -16.141169398577734, 55.329796726982686, -94.66806834761496, 67.87390544121249
2025 APR 05 16:56:07, 797144236.1906645, 1216.7215624603336, 1212.4275804902682, 2429.149142950602, 2379.2779068010154, -45.98140530730728, 67.02870345575153, -45.90820002515784, 67.02985169292133, 78.38163523622985, 78.39122615594906, 78.38643069608946, 1960882.2238783212,  nan, 0.118237740659037,  nan,  nan, 3.7290227669794023,  nan, 125.0163119902503, 9.779693708271227e-15, 6.71413763678129e-17,  nan, 1.6794685674438978e-17,  1.5721451870558814e-22, 1.3206432444885107e-25,  4.161285898093612e-24, 1.135785884325661e-18,  nan, 2.9122690912159306e-17, 1.5127165518658454, 120944.67304102347, 153.56081547835993, 0.4554556417897804, 716295.1190371495, 2276.4756995908333, 84.85048523146845, 654.6394043375157, 0.0395610772882151, 0.1186005335622829, 3.734999770252263, 0.1186005335622829, 3.734999770252263,  nan,  nan,  nan,  nan, 0.0537025851175411, 0.2058237468268189, 71.68633163565218, 71.96411234977465, 67.125, -46.375, 49.875, -61.625, -16.13552645353666, 55.39245997769533, -94.58577574658209, 67.91222204517037
2025 APR 05 16:56:08, 797144237.1923339, 1214.4659596431418, 1209.652709133411, 2424.118668776553, 2373.705525625733, -45.95663246016754, 67.0629043720872, -45.87405658243473, 67.06239901444805, 78.30607466721698, 78.31582380163276, 78.31094923442487, 1975558.1823646,  nan, 0.1185913280577377,  nan,  nan, 3.728076843749475,  nan, 131.77788194118935, 4.4019384291780245e-14, 8.571161459272991e-17,  nan, 2.8402229802583136e-17,  1.5796334953201056e-22, 1.3421981305790872e-25,  4.1802507270625686e-24, 3.9728964169290525e-18,  nan, 2.898942350387784e-17, 0.9945955744349466, 120944.67304102347, 527.9285752462938, 0.4618279137394432, 205574.112727532, 3779.439114549197, 84.8412544643743, 654.6394043375157, 0.0395628019727509, 0.1189994723688467, 3.734999770252263, 0.1189994723688467, 3.734999770252263,  nan,  nan,  nan,  nan, 0.0534458858564053, 0.2049027597770813, 71.72494884764735, 72.01487029488635, 67.125, -46.125, 49.875, -61.625, -16.129853957592353, 55.45511407007346, -94.50319842553864, 67.95049297186719
2025 APR 05 16:56:09, 797144238.1940035, 1212.2148206786096, 1206.8758951030547, 2419.0907157816646, 2368.1320009944257, -45.93191792222049, 67.09709827417667, -45.83983261443573, 67.09491825205154, 78.23031507589621, 78.2401133068513, 78.23521419137376, 1989908.9346683568,  nan, 0.1189552251128941,  nan,  nan, 3.72738468853532,  nan, 131.77906940408113, 4.447837102961537e-14, 1.421017434368647e-16,  nan, 8.502227880796839e-17,  1.587099471509664e-22, 1.3641759107434849e-25,  4.1991538585760956e-24, 2.9821458460760457e-17,  nan, 2.8857025279386505e-17, 0.4909487944578494, 120944.67304102347, 3894.700915122645, 0.3093245676674503, 205574.112727532, 11119.944576546945, 84.83218402451168, 654.6394043375157, 0.0395644998000401, 0.1193969998671815, 3.734999770252263, 0.1193969998671815, 3.734999770252263,  nan,  nan,  nan,  nan, 0.0531907460370567, 0.2039840069585328, 71.76349496321755, 72.06569707913016, 67.125, -46.125, 49.875, -61.625, -16.124151760592007, 55.517758953694425, -94.42033520811476, 67.98871795193315
2025 APR 05 16:56:10, 797144239.1956729, 1209.967700999082, 1204.0976067369295, 2414.065307736012, 2362.557343438641, -45.90727059344982, 67.13125936171194, -45.80552777692288, 67.12740944621552, 78.15434324656226, 78.16410527443784, 78.15922426050005, 2004044.2976879927,  nan, 0.1193238266277203,  nan,  nan, 3.726828041459631,  nan, 131.71691509640323, 4.3185303977221354e-14, 3.4663973683850936e-16,  nan, 3.059738529023087e-16,  1.5945427755398353e-22, 1.3865866534415379e-25,  4.2179945276322e-24, 3.059738529023087e-16,  nan, 2.8725492414100066e-17, 0.1741006034887285, 120944.67304102347, 39273.54961054339, 0.1741006034887285, 120944.67304102347, 39273.54961054339, 84.82327303075428, 654.6394043375157, 0.0395661707730558, 0.1197931207426801, 3.734999770252263, 0.1197931207426801, 3.734999770252263,  nan,  nan,  nan,  nan, 0.0529371600491438, 0.2030674837597515, 71.80196933427112, 72.11659319984348, 67.125, -45.875, 49.875, -61.625, -16.11841971399326, 55.58039455885525, -94.33718500542903, 68.02689681109452
2025 APR 05 16:56:11, 797144240.1973423, 1207.724471250565, 1201.3179973435929, 2409.042468594158, 2356.9815614268787, -45.88263093656453, 67.1654313875776, -45.77114184349293, 67.15987258828785, 78.07815527038171, 78.08780089569258, 78.08297808303715, 2018943.4557534903,  nan, 0.1196785452530534,  nan,  nan, 3.726008975555835,  nan, 132.3622074310178, 5.1807411349887896e-14, 1.0976368359277125e-15,  nan, 1.0500274980779474e-15,  1.601963101203134e-22, 1.40944071230179e-25,  4.236772057702243e-24, 1.898725568051893e-17,  nan, 2.859482100493008e-17, 0.5862488672399456, 120944.67304102347, 2395.2007701428797, 0.0960629871825154, 454715.9622815109, 132235.29741448653, 84.81452040194657, 654.6394043375157, 0.0395678149363612, 0.1201878399263777, 3.734999770252263, 0.1201878399263777, 3.734999770252263,  nan,  nan,  nan,  nan, 0.0526851217744615, 0.2021531865477851, 71.84037138890228, 72.16755910432163, 67.125, -45.625, 49.875, -61.625, -16.112657725396232, 55.64302082474778, -94.25374663308988, 68.06502927771294
2025 APR 05 16:56:12, 797144241.1990118, 1205.484812715759, 1198.5374104233674, 2404.0222231391263, 2351.4046644092045, -45.85801262819578, 67.19958957064317, -45.73667446855325, 67.19230772768151, 78.00174119885403, 78.01120735297253, 78.00647427591329, 2034161.872857138,  nan, 0.1200339307255492,  nan,  nan, 3.72523979284789,  nan, 131.64254242054935, 4.2038917098543175e-14, 1.1404302154245874e-16,  nan, 5.3668816990399666e-17,  1.609360110537351e-22, 1.432748716856681e-25,  4.255485692078265e-24, 3.340183665088215e-18,  nan, 2.846500720681685e-17, 1.0806755537367674, 120944.67304102347, 414.1018974044139, 0.3203646141829612, 643787.919026413, 6629.543451022426, 86.3869133326079, 2455.9089729104635, 0.0202995355895778, 0.1205811624432794, 3.734999770252263, 0.1205811624432794, 3.734999770252263,  nan,  nan,  nan,  nan, 0.0524346249527781, 0.2012411127574722, 71.87870057729475, 72.21859518421282, 67.125, -45.375, 49.875, -61.875, -16.106865520934054, 55.705637723302985, -94.1700189259153, 68.10311511529862
2025 APR 05 16:56:13, 797144242.2006812, 1203.248548772159, 1195.7560483218208, 2399.00459709398, 2345.8266627549765, -45.8334081170079, 67.23373248354487, -45.702125404640576, 67.22471486012519, 77.92509495273572, 77.93432792408979, 77.92971143841275, 2048315.861748976,  nan, 0.1203927300026067,  nan,  nan, 3.7245749453317423,  nan, 131.50167182275553, 4.083011350933451e-14, 8.74721417678781e-17,  nan, 3.0372378449806925e-17,  1.6167334962559289e-22, 1.4565215865085402e-25,  4.274134751661079e-24, 1.1122429752668417e-18,  nan, 2.8336047224252227e-17, 1.5778500953159342, 120944.67304102347, 135.5148668154426, 0.3926938585865795, 643787.919026413, 3686.8314633837695, 86.37860915528171, 2455.9089729104635, 0.0203000935687307, 0.1209730933754892, 3.734999770252263, 0.1209730933754892, 3.734999770252263,  nan,  nan,  nan,  nan, 0.0521856638033302, 0.2003312584345584, 71.91695627622275, 72.26970191236802, 67.125, -45.375, 49.875, -61.875, -16.101043009562922, 55.7682451744618, -94.08600074628852, 68.14115407167507
2025 APR 05 16:56:14, 797144243.2023507, 1200.9997354151756, 1192.9898801266943, 2393.98961554187, 2340.2475652106764, -45.80819618941866, 67.26772021250534, -45.667494373797545, 67.25709398649097, 77.84777747420061, 77.85759997831168, 77.85268872625615, 2062414.064917311,  nan, 0.1207537284252179,  nan,  nan, 3.723986905193292,  nan, 131.75419518140058, 4.3180882035268265e-14, 8.418489131395196e-17,  nan, 2.0287909628139612e-17,  1.62408291538329e-22, 1.4807705077133877e-25,  4.292718462677122e-24, 3.1109290207970735e-18,  nan, 2.8207937245910924e-17, 1.2464151158563666, 59800.76863713052, 377.15939896573934, 0.4742526727911249, 466453.8303921845, 2465.355806670037, 86.37045974826948, 2455.9089729104635, 0.0203006424121232, 0.1212573939657137, 3.732735491932816, 0.1212573939657137, 3.732735491932816,  nan,  nan,  nan,  nan, 0.0519382324995782, 0.1994236193539057, 71.955137868987, 72.3208797814916, 67.375, -46.375, 49.875, -61.875, -16.09519009800126, 55.83084310584306, -94.00169091146336, 68.17914591272086
2025 APR 05 16:56:15, 797144244.2040201, 1198.770119615242, 1190.20718234279, 2388.977301958032, 2334.667381681806, -45.783611217230266, 67.30183114017865, -45.632781054424505, 67.28944516208736, 77.77065818708503, 77.78014937167684, 77.77540377938094, 2077918.519548742,  nan, 0.1210978789419604,  nan,  nan, 3.723084910851116,  nan, 131.86387925377332, 4.4700865870431114e-14, 1.2506483542050336e-16,  nan, 7.141539914481187e-17,  1.6314080991706414e-22, 1.5055070654392666e-25,  4.3112362516981984e-24, 1.317665615244534e-17,  nan, 2.808067349923366e-17, 0.752780615138417, 59800.76863713052, 1569.744228617935, 0.3615264866061181, 127148.4154910128, 8518.694315061217, 86.3624642522752, 2455.9089729104635, 0.0203011821066224, 0.1216462549513413, 3.732735491932816, 0.1216462549513413, 3.732735491932816,  nan,  nan,  nan,  nan, 0.0516923249003981, 0.1985181929147381, 71.99324478739254, 72.37212919671603, 67.375, -46.125, 49.875, -61.875, -16.08930650416902, 55.89343150548277, -93.91708827484932, 68.21709038388515
2025 APR 05 16:56:16, 797144245.2056895, 1196.5433982512902, 1187.4242840063232, 2383.967682257613, 2329.0861212557106, -45.75901830976685, 67.33592279061997, -45.59798520242125, 67.32176836922962, 77.69328932191489, 77.7024219117824, 77.69785561684864, 2092505.028250752,  nan, 0.1214487192097992,  nan,  nan, 3.72235168513984,  nan, 131.66557295084527, 4.2500374724889326e-14, 1.8135674777604646e-16,  nan, 1.1713391336266587e-16,  1.6387087266411327e-22, 1.5307430779353224e-25,  4.329687401722332e-24, 1.1713391336266587e-16,  nan, 2.79542522318412e-17, 0.302731778543935, 59800.76863713052, 13711.584406787784, 0.302731778543935, 59800.76863713052, 13711.584406787784, 86.35462164049369, 2455.9089729104635, 0.0203017126522889, 0.1220337412469661, 3.732735491932816, 0.1220337412469661, 3.732735491932816,  nan,  nan,  nan,  nan, 0.0514479353918504, 0.1976149744401199, 72.03127638143546, 72.42345068481973, 67.375, -45.875, 49.875, -61.875, -16.083392196629024, 55.95601028299331, -93.83219166097864, 68.25498724289379
2025 APR 05 16:56:17, 797144246.2073591, 1194.304258522615, 1184.656524491396, 2378.960783014011, 2323.503792923971, -45.733791217050566, 67.36988233877362, -45.56310650096852, 67.3540636410322, 77.61524513401297, 77.62484184630163, 77.6200434901573, 2106486.589764835,  nan, 0.121800455974707,  nan,  nan, 3.721667020658108,  nan, 131.58685666072935, 4.163350320653868e-14, 2.0094688427514075e-16,  nan, 9.442835000919186e-17,  1.6459844312300098e-22, 1.5564906710490047e-25,  4.348071080615928e-24, 7.57387287105611e-17,  nan, 2.782866971291372e-17, 0.3132289252304401, 385795.6124017664, 8698.229820436904, 0.3409947295810999, 59800.76863713052, 10861.28378031824, 86.34693101904732, 2455.9089729104635, 0.0203022340420841, 0.12241985458567, 3.732735491932816, 0.12241985458567, 3.732735491932816,  nan,  nan,  nan,  nan, 0.0512050576976122, 0.19671396187935, 72.06923210411375, 72.47484462767136, 67.375, -45.875, 49.875, -61.875, -16.077446895810144, 56.018579410697896, -93.7469998679342, 68.29283620941708
2025 APR 05 16:56:18, 797144247.2090285, 1192.083551965365, 1181.8730763406709, 2373.956628306036, 2317.920408911913, -45.70921620102616, 67.40391431218963, -45.52814464877456, 67.3863309849092, 77.53737784301462, 77.54655181792748, 77.54196483047104, 2121622.0368056805,  nan, 0.1221487242928618,  nan,  nan, 3.720950715184142,  nan, 131.69810318427548, 4.2952021411359974e-14, 3.6927875977435e-16,  nan, 3.0451363395744757e-16,  1.6532349870974067e-22, 1.5827624184742028e-25,  4.366386822724586e-24, 3.0451363395744757e-16,  nan, 2.7703922254956946e-17, 0.1848161944700507, 385795.6124017664, 34361.146957356505, 0.1848161944700507, 385795.6124017664, 34361.146957356505, 86.33939148425945, 2455.9089729104635, 0.0203027462714536, 0.1228046057005081, 3.732735491932816, 0.1228046057005081, 3.732735491932816,  nan,  nan,  nan,  nan, 0.0509636866874078, 0.1958151495787629, 72.10711122913348, 72.52631161673338, 67.375, -45.625, 49.875, -61.875, -16.071470564988566, 56.08113879028012, -93.66151178126358, 68.33063709799342
2025 APR 05 16:56:19, 797144248.2106979, 1189.8502853109976, 1179.104958693539, 2368.9552440045363, 2312.3359772511653, -45.68397060232012, 67.43783528715292, -45.49309933453589, 67.41857044353212, 77.45882592441778, 77.46841279125704, 77.46361935783742, 2136362.6925722025,  nan, 0.122487171475906,  nan,  nan, 3.7200558806229873,  nan, 132.05287334770787, 4.7582010508918576e-14, 1.6272566035026871e-16,  nan, 1.0881230547626961e-16,  1.6604600002659092e-22, 1.0205826715748908e-25,  4.3846337232471294e-24, 8.624475619821515e-18,  nan, 2.7580006157018304e-17, 0.6753815910470137, 385795.6124017664, 956.1675671348364, 0.2467660835935988, 908990.0265134928, 12042.136558247135, 86.33200215728706, 2455.9089729104635, 0.020303249335949, 0.1231879939755119, 3.732735491932816, 0.1231879939755119, 3.732735491932816,  nan,  nan,  nan,  nan, 0.050723816122613, 0.1949185352828028, 72.14491320326457, 72.57785205400332, 67.375, -45.375, 49.875, -61.875, -16.06546291860704, 56.14368841461419, -93.57572619333617, 68.36838962579664
2025 APR 05 16:56:20, 797144249.2123674, 1187.6196266672357, 1176.3370293906478, 2363.9566560578837, 2306.750507790249, -45.65870077637848, 67.47173439827242, -45.45797030585727, 67.45078199303767, 77.38000824985244, 77.39000208565675, 77.3850051677546, 2150822.14590173,  nan, 0.1228378646300068,  nan,  nan, 3.719451870610878,  nan, 131.80278741289334, 4.400143462367552e-14, 8.912773422228812e-17,  nan, 4.595496821078025e-17,  1.6676592182895578e-22, 7.865710991188902e-26,  4.4028112457921564e-24, 1.751923914037549e-18,  nan, 2.7456917764652795e-17, 1.1628271759743003, 385795.6124017664, 190.8311636283088, 0.3777369824378164, 416893.628972398, 4986.595909163062, 86.32476204476932, 2455.9089729104635, 0.0203037432407021, 0.1235700267884834, 3.732735491932816, 0.1235700267884834, 3.732735491932816,  nan,  nan,  nan,  nan, 0.0504854405333467, 0.1940241143662065, 72.18263735249776, 72.62946648171071, 67.375, -45.125, 49.875, -61.875, -16.059423924810318, 56.2062281828764, -93.48964191517368, 68.40609354468457
2025 APR 05 16:56:21, 797144250.2140368, 1185.4080703509967, 1173.552820410317, 2358.9608907613137, 2301.164010650806, -45.63408475214381, 67.50573304484004, -45.42275725309689, 67.48296566353596, 77.30138682571253, 77.3108529924748, 77.30611990909367, 2165733.424080029,  nan, 0.1231872358853839,  nan,  nan, 3.7188467419162174,  nan, 131.59479391269022, 4.1527779556659764e-14, 6.298404848445923e-17,  nan, 1.1788257562702754e-17,  1.6748323882507368e-22, 7.956214115887095e-26,  4.420918856608799e-24, 6.861196968607845e-19,  nan, 2.7334653478838985e-17, 1.50200237036409, 553086.7104532674, 74.3702030030247, 0.6101129035154927, 390301.737213942, 1282.0603575407658, 86.31767029315006, 2455.9089729104635, 0.0203042279830758, 0.1238423763655756, 3.730472087233711, 0.1238423763655756, 3.730472087233711,  nan,  nan,  nan,  nan, 0.0502485541288613, 0.1931318838213275, 72.22028305302861, 72.68115535352115, 67.625, -46.375, 49.875, -61.875, -16.053353357409094, 56.26875805094641, -93.40325778532126, 68.44374859165296
2025 APR 05 16:56:22, 797144251.2157062, 1183.1831541586084, 1170.7848205937662, 2353.967974752374, 2295.576496407303, -45.60881484174893, 67.53956956153054, -45.38745985307426, 67.51512149458465, 77.22204919390747, 77.23187831133083, 77.22696375261916, 2181573.691303871,  nan, 0.1235179776595946,  nan,  nan, 3.717896752942643,  nan, 131.68291615887003, 4.2617450830829975e-14, 9.685960286234015e-17,  nan, 4.6025040609253256e-17,  1.6819790971078297e-22, 8.047953832694024e-26,  4.438955598843647e-24, 2.2717491947168888e-18,  nan, 2.721320962647934e-17, 1.0120845130848966, 553086.7104532674, 241.89492027414252, 0.3427107761516379, 817947.5679325763, 4912.946964774474, 86.31072605422892, 2455.9089729104635, 0.0203047035617629, 0.1242214266471297, 3.730472087233711, 0.1242214266471297, 3.730472087233711,  nan,  nan,  nan,  nan, 0.0500131510840603, 0.1922418402726733, 72.2578496864872, 72.73291914865568, 67.625, -46.125, 49.875, -61.875, -16.04725099100676, 56.33127799435756, -93.3165726086076, 68.48135451611415
2025 APR 05 16:56:23, 797144252.2173758, 1180.9770017568549, 1168.0009308228005, 2348.9779325796558, 2289.9879738701216, -45.584158562467785, 67.57352529500034, -45.35207784791467, 67.54724946573165, 77.14289884011836, 77.15216821410081, 77.14753352710959, 2197293.143853795,  nan, 0.1238596173856526,  nan,  nan, 3.717197861754844,  nan, 131.92665854192057, 4.5129794384514855e-14, 4.117331792241014e-16,  nan, 3.6232132475960805e-16,  1.6890991778785558e-22, 8.140952429005344e-26,  4.456921160914291e-24, 1.5946973618973912e-17,  nan, 2.7092582638632348e-17, 0.5276534802331788, 553086.7104532674, 1668.0285298089498, 0.1772280417707466, 386831.5077274455, 37950.22330467021, 86.30392836018987, 2455.9089729104635, 0.0203051699853413, 0.1245991433402103, 3.730472087233711, 0.1245991433402103, 3.730472087233711,  nan,  nan,  nan,  nan, 0.049779226016708, 0.1913539790312073, 72.29533656363137, 72.78475842744821, 67.625, -45.875, 49.875, -61.875, -16.041116782856975, 56.393787919979445, -93.22958518356948, 68.51891106516354
2025 APR 05 16:56:24, 797144253.2190452, 1178.7579097196292, 1165.2328833765737, 2343.9907930962027, 2284.3984535209747, -45.55883458416229, 67.60734417687996, -45.31661092422144, 67.57934960384577, 77.06303851514423, 77.07262065503522, 77.06782958508973, 2210557.697541289,  nan, 0.1241987772154304,  nan,  nan, 3.7164764939534742,  nan, 132.0100621855567, 4.6292641477025264e-14, 1.6593607841973384e-15,  nan, 1.6060477582916597e-15,  1.6961922101652912e-22, 8.235231479260552e-26,  4.4748145662962135e-24, 1.6060477582916597e-15,  nan, 2.697276899018511e-17, 0.0857767988423445, 553086.7104532674, 165019.0479205749, 0.0857767988423445, 553086.7104532674, 165019.0479205749, 87.07547050424675, 13191.430786627185, 0.0087408168809868, 0.1249755228775652, 3.730472087233711, 0.1249755228775652, 3.730472087233711,  nan,  nan,  nan,  nan, 0.0495467732546386, 0.1904682970611205, 72.33274304107044, 72.83667365882542, 67.625, -45.625, 49.875, -62.125, -16.034950508716744, 56.45628777827246, -93.14229434278909, 68.55641797255213
