# MEX_intpoint_lon [deg], MEX_intpoint_lat [deg], MEX_intpoint_angle [deg], TGO_intpoint_lon [deg], TGO_intpoint_lat [deg], TGO_intpoint_angle [deg] 
-104.34964735387348, -6.079500607451714, 63.795903092758905, -108.20426834429858, -3.122845441701711, 63.75453428053886 
-104.36965654534062, -6.519337850667477, 63.79474578905768, -108.21280494166793, -3.563624474010501, 63.753916190534646 
-104.38270035128153, -6.959439976091956, 63.79350842088643, -108.21437202638998, -4.0044871753948375, 63.75321693270841 
-104.38875791064012, -7.3996996043904995, 63.792191467530635, -108.20895862548205, -4.44532556016702, 63.75243682620006 
-104.38780790246939, -7.8400090461058, 63.79079550422429, -108.1965533738456, -4.886031456231238, 63.75157628728126 
-104.37982854920857, -8.280260273289478, 63.78932120179907, -108.17714452106735, -5.326496477678916, 63.750635829042096 
-104.36479762412361, -8.720344891013145, 63.787769326226574, -108.15071994234509, -5.766611997450775, 63.7496160609693 
-104.34269246300116, -9.16015410884438, 63.786140738053625, -108.1172671535887, -6.206269120152324, 63.74851768841706 
-104.31348998019004, -9.599578712375807, 63.7844363917314, -108.0767733307517, -6.645358655111666, 63.747341511970134 
-104.27716668908998, -10.038509034897215, 63.78265733483854, -108.0292253334518, -7.083771089769421, 63.74608842670009 
-104.23369872719086, -10.476834929303976, 63.780804707198804, -107.9746097329413, -7.521396563493232, 63.74475942131507 
-104.1830618857707, -10.914445740337145, 63.77887973989369, -107.91291284449248, -7.958124841910591, 63.743355577203644 
-104.1252316443645, -11.35123027725418, 63.77688375417124, -107.84412076426459, -8.393845291856488, 63.741878067373335 
-104.06018321011922, -11.787076787032447, 63.774818160250994, -107.76821941072153, -8.82844685703466, 63.74032815528506 
-103.98789156215432, -12.221872928210844, 63.77268445602669, -107.6851945706715, -9.261818034493515, 63.73870719358363 
-103.90833150104895, -12.655505745479102, 63.77048422566708, -107.59503194999978, -9.693846852021073, 63.737016622726 
-103.82147770357993, -13.087861645127717, 63.768219138116386, -107.49771722916762, -10.124420846565457, 63.73525796950775 
