# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
-84.375, -22.875, 3.12448746426423e-23, 3.130616095885672e-23 
-84.125, -22.875, 1.4435104855188272e-23, 1.4463607614532178e-23 
-83.875, -22.875, 1.0243241568603853e-23, 1.026360109598553e-23 
-83.625, -22.875, 6.310730534296288e-24, 6.323343259737015e-24 
-83.375, -22.875, 5.815153231863658e-24, 5.826640544640279e-24 
-83.125, -22.875, 5.789520257515624e-24, 5.8008087522814835e-24 
-82.875, -22.875, 1.2339348912586225e-23, 1.2363092548229565e-23 
-82.625, -22.875, 1.5741774509328548e-23, 1.5771584949246359e-23 
-82.375, -22.875, 1.2654459134915729e-23, 1.267778007031179e-23 
-82.125, -22.875, 1.5115364845746797e-23, 1.5142598963093286e-23 
-81.875, -22.875, 7.258085501413614e-24, 7.270864084620423e-24 
-81.625, -22.875, 6.459058236892266e-24, 6.4701642643684256e-24 
-81.375, -22.875, 2.59989448266475e-24, 2.6042578891103888e-24 
-81.125, -22.875, 2.220864277834859e-23, 2.2245001744121114e-23 
-80.875, -22.875, 2.6821852164785356e-23, 2.6864660043041494e-23 
-80.625, -22.875, 5.329959989315073e-24, 5.338261666143281e-24 
-80.375, -22.875, 8.74901390345444e-24, 8.762417088603797e-24 
-80.125, -22.875, 1.3011154420118717e-23, 1.303075418534352e-23 
-79.875, -22.875, 1.345195235468807e-23, 1.3471752730593344e-23 
-79.625, -22.875, 4.8591229484294575e-23, 4.8660121644752477e-23 
-79.375, -22.875, 3.754640963463862e-23, 3.759809790851568e-23 
-79.125, -22.875, 2.220581243708552e-23, 2.2235468556924562e-23 
-78.875, -22.875, 3.81317789241646e-23, 3.818113570991431e-23 
-78.625, -22.875, 2.7728590383160336e-22, 2.776358480710013e-22 
-78.375, -22.875, 4.082406264959241e-23, 4.087524446834711e-23 
-78.125, -22.875, 2.1514287203151175e-23, 2.1541065532393478e-23 
-77.875, -22.875, 1.0275283770264328e-23, 1.0287937410207509e-23 
-77.625, -22.875, 1.8862008790989638e-23, 1.8884816022602648e-23 
-77.375, -22.875, 1.899258094104919e-23, 1.9015374369283271e-23 
-85.875, -22.625, 9.8851670501212e-24, 9.903784653173001e-24 
-85.625, -22.625, 1.8144058035832634e-24, 1.8178615130164695e-24 
-85.375, -22.625, 1.1944482938369788e-23, 1.1967388338881699e-23 
-85.125, -22.625, 1.596497938587157e-23, 1.599580321479213e-23 
-84.875, -22.625, 1.3971553317824084e-23, 1.3998710882221413e-23 
-84.625, -22.625, 2.4439665815540358e-23, 2.4487490241905766e-23 
-84.375, -22.625, 3.784008408507618e-23, 3.7914625171434165e-23 
-84.125, -22.625, 3.9107910794189613e-23, 3.918546017801878e-23 
-83.875, -22.625, 1.5512430253761058e-23, 1.5543393388942912e-23 
-83.625, -22.625, 9.825661639990903e-24, 9.845382050978729e-24 
-83.375, -22.625, 3.2357324953323367e-24, 3.2421516212879552e-24 
-83.125, -22.625, 2.4190841542073965e-24, 2.4238212738010064e-24 
-82.875, -22.625, 4.7922193454225244e-24, 4.801480947573246e-24 
-82.625, -22.625, 2.0420721406243303e-23, 2.045957833623367e-23 
-82.375, -22.625, 2.366178877929454e-23, 2.3705839070076197e-23 
-82.125, -22.625, 1.0376617385787481e-23, 1.0395508117886345e-23 
-81.875, -22.625, 5.498934676240833e-24, 5.508719243262341e-24 
-81.625, -22.625, 1.1932802776620818e-23, 1.1953544435953471e-23 
-81.375, -22.625, 8.163648217636218e-24, 8.177502374466144e-24 
-81.125, -22.625, 6.783739897901129e-24, 6.794973128011545e-24 
-80.875, -22.625, 2.742435689956134e-23, 2.746864056922371e-23 
-80.625, -22.625, 1.7891541757441225e-23, 1.7919744142589027e-23 
-80.375, -22.625, 6.4359544879519946e-24, 6.445934796078291e-24 
-80.125, -22.625, 8.334104816430856e-24, 8.346815381080305e-24 
-79.875, -22.625, 2.8904787647693996e-23, 2.894813160578951e-23 
-79.625, -22.625, 5.120570041316399e-23, 5.128084914928359e-23 
-79.375, -22.625, 4.396580598481489e-23, 4.402852071759351e-23 
-79.125, -22.625, 1.0794259191507226e-23, 1.0809212506062884e-23 
-78.875, -22.625, 3.0593270369119405e-23, 3.063453471630025e-23 
-78.625, -22.625, 3.824119424803143e-23, 3.829166996963109e-23 
-78.375, -22.625, 2.3911688142461707e-23, 2.3943051013492825e-23 
-78.125, -22.625, 1.7928492749419018e-23, 1.7951845887904643e-23 
-77.875, -22.625, 1.1354720524676654e-23, 1.1369408196567032e-23 
-77.625, -22.625, 1.6152013729140235e-23, 1.6172729991037887e-23 
-77.375, -22.625, 1.3741717620855806e-22, 1.3759218247243054e-22 
-77.125, -22.625, 1.8239000694753506e-23, 1.8262063899031453e-23 
-76.875, -22.625, 8.93811819644757e-24, 8.949339636550966e-24 
-76.625, -22.625, 9.430191540790308e-24, 9.44194550752311e-24 
-76.375, -22.625, 1.212639642499231e-23, 1.214140136847405e-23 
-76.125, -22.625, 2.102077331480817e-23, 2.1046593944814405e-23 
-75.875, -22.625, 2.3797032258368997e-23, 2.3826047957001995e-23 
-75.625, -22.625, 3.246322646519567e-24, 3.2502469921119833e-24 
-87.125, -22.375, 1.1190728098929257e-23, 1.1210485975106457e-23 
-86.875, -22.375, 2.3428694051252607e-23, 2.347060771438437e-23 
-86.625, -22.375, 3.9455504860616885e-23, 3.95270148001448e-23 
-86.375, -22.375, 3.2182696485489615e-23, 3.224177914806099e-23 
