# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
-84.375, -32.375, 7.596435287573089e-23, 7.593018454945318e-23 
-84.125, -32.375, 9.676247201038739e-23, 9.671431924602532e-23 
-83.875, -32.375, 6.259298290907321e-23, 6.255883942615456e-23 
-83.625, -32.375, 6.047814318325739e-23, 6.044239058107274e-23 
-83.375, -32.375, 6.087589542749577e-23, 6.083757688491992e-23 
-83.125, -32.375, 5.307225540370628e-23, 5.303681006107931e-23 
-82.875, -32.375, 3.198880205498243e-23, 3.1966087009688915e-23 
-82.625, -32.375, 3.443860115491631e-23, 3.4412293783882045e-23 
-82.375, -32.375, 3.640585242189335e-23, 3.637577146744029e-23 
-82.125, -32.375, 1.9072316848652142e-23, 1.9055264737518384e-23 
-81.875, -32.375, 1.4531686359163572e-23, 1.451770854798522e-23 
-81.625, -32.375, 1.6529807353742646e-23, 1.651263932510607e-23 
-81.375, -32.375, 3.582850178371517e-23, 3.57870958048567e-23 
-81.125, -32.375, 4.213148144060277e-23, 4.207785934605653e-23 
-80.875, -32.375, 3.8476732106424455e-23, 3.8423484027100833e-23 
-80.625, -32.375, 2.49260740065474e-23, 2.4889248748640288e-23 
-86.625, -32.125, 7.077349737080569e-24, 7.07790871921315e-24 
-86.375, -32.125, 1.0820574155848487e-23, 1.0820911152406383e-23 
-86.125, -32.125, 1.189038350630223e-23, 1.1890234754911007e-23 
-85.875, -32.125, 8.72963552805381e-24, 8.72925200002989e-24 
-85.625, -32.125, 9.200789257176464e-24, 9.20006350764885e-24 
-85.375, -32.125, 9.679600278376955e-24, 9.678373686234819e-24 
-85.125, -32.125, 3.523088656218067e-24, 3.52247030914785e-24 
-84.875, -32.125, 3.311400764757809e-24, 3.310643028328221e-24 
-84.625, -32.125, 4.108292755088304e-24, 4.107138270383578e-24 
-84.375, -32.125, 1.7319529631500302e-23, 1.731383399074713e-23 
-84.125, -32.125, 6.205354380519018e-23, 6.203016819958341e-23 
-83.875, -32.125, 4.812447870470402e-23, 4.8104047682167087e-23 
-83.625, -32.125, 4.724106390706287e-23, 4.7218849920217414e-23 
-83.375, -32.125, 4.1532438709657167e-23, 4.1511318896284804e-23 
-83.125, -32.125, 2.013493115172384e-23, 2.0123842790014326e-23 
-82.875, -32.125, 1.1478109657445594e-23, 1.1471159240352667e-23 
-82.625, -32.125, 2.724151536106497e-23, 2.7223554080608843e-23 
-82.375, -32.125, 2.5825187526951577e-23, 2.5806885280661178e-23 
-82.125, -32.125, 2.248341190976094e-23, 2.2466071371838263e-23 
-81.875, -32.125, 3.878133004715624e-23, 3.874878979116602e-23 
-81.625, -32.125, 4.823812830886276e-23, 4.8193951926253375e-23 
-81.375, -32.125, 4.698695842754793e-23, 4.6938427380689615e-23 
-81.125, -32.125, 3.3871943776088915e-23, 3.3833191095394485e-23 
-80.875, -32.125, 3.538194181133663e-23, 3.5338287851110743e-23 
