# MEX_intpoint_lon [deg], MEX_intpoint_lat [deg], MEX_intpoint_angle [deg], TGO_intpoint_lon [deg], TGO_intpoint_lat [deg], TGO_intpoint_angle [deg] 
-68.17226879295202, -48.976368120190074, 49.54635574912692, -146.43462738926178, -59.68471070360087, 64.0507356169438 
-67.18340639432876, -48.89233819135319, 49.5469305484224, -145.6978995708515, -59.44696649798098, 64.05323092209706 
-66.19617841538029, -48.80847708519611, 49.5475044522613, -144.96416513543704, -59.210968982416695, 64.0557195432461 
-65.21056893467832, -48.72480939376825, 49.54807728585024, -144.2333160726152, -58.97674966360205, 64.05820072747643 
-64.22656173534615, -48.641359531474194, 49.54864887538319, -143.50524829166275, -58.744339554977955, 64.0606737295623 
-63.24414032030718, -48.55815173025079, 49.54921904809268, -142.77986146093568, -58.5137691915828, 64.06313781217477 
-62.263287927179206, -48.47521003489536, 49.54978763229989, -142.0570588550051, -58.28506864392091, 64.06559224608147 
-61.28398754281061, -48.392558298541054, 49.55035445746351, -141.33674720912327, -58.058267530904594, 64.06803631033691 
-60.30622191745458, -48.3102201782753, 49.55091935422773, -140.61883658063283, -57.83339503192218, 64.07046929246417 
-59.32997357857905, -48.22821913089709, 49.55148215446859, -139.90324021695324, -57.61047989808084, 64.07289048862722 
-58.35522484430976, -48.146578408809326, 49.552042691339686, -139.18987442979852, -57.38955046267027, 64.07529920379464 
-57.381957836505364, -48.06532105604212, 49.55260079931641, -138.47865847529783, -57.17063465089039, 64.0776947518939 
-56.41015449346368, -47.9844699044031, 49.553156314239075, -137.769514439709, -56.953759988883746, 64.08007645595723 
-55.439796582258566, -47.90404756975088, 49.55370907335486, -137.06236713043037, -56.73895361211054, 64.08244364825819 
-54.47086571070829, -47.82407644838794, 49.5542589153586, -136.35714397203412, -56.52624227310242, 64.08479567043946 
-53.50334333897545, -47.74457871356904, 49.55480568043241, -135.6537749070566, -56.31565234862863, 64.087131873632 
-52.53721079080054, -47.66557631212154, 49.55534921028403, -134.95219230129774, -56.10720984630653, 64.08945161856518 
-51.57244926437017, -47.58709096117399, 49.555889348184095, -134.25233085339326, -55.900940410686275, 64.09175427566844 
-50.60903984282268, -47.509144144989556, 49.55642593900222, -133.55412750843672, -55.696869328838055, 64.09403922516444 
-49.646963504393185, -47.43175711190061, 49.5569588292418, -132.85752137544054, -55.495021535468744, 64.09630585715345 
-48.686201132201525, -47.354950871341316, 49.55748786707374, -132.16245364843596, -55.29542161759285, 64.09855357168958 
-47.72673352368568, -47.27874619097477, 49.558012902369086, -131.4688675310228, -55.09809381878199, 64.10078177884871 
-46.76854139968492, -47.203163593911526, 49.558533786730244, -130.77670816419018, -54.90306204301516, 64.10298989878814 
-45.81160541317589, -47.12822335601645, 49.55905037352135, -130.08592255723835, -54.710349858151446, 64.10517736179843 
-44.85590615766605, -47.05394550330075, 49.55956251789731, -129.3964595216412, -54.51998049904509, 64.10734360834707 
-43.90142417524895, -46.98034980939629, 49.56007007683179, -128.70826960769762, -54.331976870322535, 64.10948808911478 
-42.94813996432524, -46.907455793109314, 49.56057290914402, -128.02130504382734, -54.146361548839316, 64.11161026502386 
-41.99603398699507, -46.835282716050926, 49.561070875524614, -127.33551967837484, -53.96315678583425, 64.11370960725912 
-41.04508667612583, -46.76384958034144, 49.56156383856013, -126.65086892379252, -53.78238450879759, 64.11578559728213 
-40.095278442101105, -46.6931751263861, 49.56205166275673, -125.96730970307998, -53.604066323068466, 64.11783772683754 
-39.14658967925555, -46.62327783071984, 49.562534214562596, -125.2848003983635, -53.42822351317689, 64.11986549795303 
-38.199000772001234, -46.55417590391841, 49.56301136238953, -124.6033008015062, -53.25487704394436, 64.12186842293245 
-37.252492100650706, -46.485887288573714, 49.563482976633274, -123.9227720666434, -53.08404756135684, 64.12384602434244 
-36.307044046942586, -46.41842965733113, 49.56394892969298, -123.24317666454526, -52.91575539322283, 64.12579783499253 
-35.362636999275125, -46.35182041098658, 49.56440909598968, -122.56447833871229, -52.75002054962934, 64.12772339790946 
-34.41925135765336, -46.286076676641436, 49.56486335198369, -121.8866420631147, -52.58686272320732, 64.12962226630529 
-33.47686753835555, -46.2212153059131, 49.56531157619119, -121.2096340014913, -52.42630128921809, 64.13149400354001 
-32.53546597832506, -46.157252873199596, 49.56575364919976, -120.53342146812734, -52.26835530547177, 64.13333818307866 
-31.59502713929304, -46.094205673996235, 49.56618945368307, -119.85797289003608, -52.113043512088005, 64.13515438844311 
-30.6555315116378, -46.03208972326264, 49.56661887441471, -119.18325777047043, -51.96038433110916, 64.13694221315889 
-29.71695961798715, -45.97092075383851, 49.56704179828103, -118.50924665369767, -51.81039586597582, 64.13870126069725 
