# utc [-], et [s], R_T_spoint [km], R_R_spoint [km], R_MEXspointTGO [km], r_MEXTGO [km], spoint_lon [deg], spoint_lat [deg], midpoint_lon [deg], midpoint_lat [deg], emis_MEX [deg], emis_TGO [deg], emis_avg [deg], S_mutualfootprint [km^2], rho_data [-], rho_modelGRS [-], rho_modelFREND [-], dc_data [-], dc_modelGRS [-], dc_modelFREND [-], AGC_data [-], P_R_data [W], P_R_modelGRS [W], P_R_modelFREND [W], P_R_modelGRS_maxcont [W], P_R_modelFREND_maxcont [W], P_R_modelGRS_mincont [W], P_R_modelFREND_mincont [W], P_R_modelGRS_spoint [W], P_R_modelFREND_spoint [W], P_R_freespace [W], gamma_spoint [deg], C_spoint [-], topography_spoint [-], gamma_GRS_maxcont [deg], C_GRS_maxcont [-], topography_GRS_maxcont [-], gamma_FREND_maxcont [deg], C_FREND_maxcont [-], topography_FREND_maxcont [-], rho_modelGRS_spoint [-], dc_modelGRS_spoint [-], rho_modelGRS_maxcont [-], dc_modelGRS_maxcont [-], rho_modelFREND_spoint [-], dc_modelFREND_spoint [-], rho_modelFREND_maxcont [-], dc_modelFREND_maxcont [-], G_T_freespace [-], G_R_freespace [-], angle_MEX2TGO [deg], angle_TGO2MEX [deg], lat_GRS_maxcont [deg], lon_GRS_maxcont [deg], lat_FREND_maxcont [deg], lon_FREND_maxcont [deg], MEXbs_lon [deg], MEXbs_lat [deg], TGObs_lon [deg], TGObs_lat [deg] 
2025 AUG 15 19:39:12, 808558821.1829247, 1976.55319569888, 454.6565127491611, 2431.2097084480406, 1867.5750460653635, -155.37337569443304, -69.89249778250422, -139.93111779603808, -72.77720232310833, 34.81017862505957, 34.81851879336, 34.81434870920978, 7410628.262674743,  nan, 0.136150348376957,  nan,  nan, 2.7399714346339383,  nan, 124.94677156004155, 8.625933855059347e-15,  3.7382364565736437e-14,  nan, 3.98747955819212e-15,  1.6084814861594762e-21, 3.35408874886661e-26,  3.419912636310113e-24, 2.8066367306985272e-15,  nan, 1.4286014932554061e-18, 0.7663681876994365, 9125.75477380326, 2136.912481188735,  0.6503223505053818, 8821.206434203581,  2825.468755554337, 61.92285179229199, 173619.06375087524, 0.003494061798387, 0.1133830720874671, 2.374964209019327, 0.113214104893563, 2.3726771285741264,  nan,  nan,  nan,  nan, 1.552064003299544, 0.0002152417058287, 35.37329609295035, 127.921701939523, -69.625, -155.625, -89.875, -179.875, -115.40375188088892, -74.12079780032045, -163.58033543920655, -67.31494377920214
2025 AUG 15 19:39:13, 808558822.1838027, 1973.9777624762432, 454.3288029506652, 2428.3065654269085, 1864.012885484916, -155.30263996438896, -69.92737854898098, -139.88968104614074, -72.80682275445173, 34.740589529157326, 34.74887757729578, 34.74473355322655, 7411989.5543544125,  nan, 0.1361650327123769,  nan,  nan, 2.7391708962256214,  nan, 124.92406115481668, 8.581182088979621e-15,  3.8738968808253647e-14,  nan, 4.557784380903414e-15,  1.6037582571913537e-21, 3.384638469164097e-26,  3.4004646005339874e-24, 4.557784380903414e-15,  nan, 1.4197513901733198e-18, 0.578658885827494, 9125.75477380326, 3401.9928051947727,  0.578658885827494, 9125.75477380326,  3401.9928051947727, 61.87445150548893, 173619.06375087524, 0.0034987932586596, 0.1134502148474981, 2.374964209019327, 0.1134502148474981, 2.374964209019327,  nan,  nan,  nan,  nan, 1.5549324880837203, 0.0002126999621624, 35.3431228106266, 127.9973608961448, -69.875, -155.375, -89.875, -179.875, -115.38448537457158, -74.15494960118568, -163.49955993059598, -67.35479339567678
2025 AUG 15 19:39:14, 808558823.1846807, 1971.4057017455968, 454.0020412250571, 2425.407742970654, 1860.455579250004, -155.23166959783237, -69.96223242383134, -139.8480755947625, -72.83644030265053, 34.670985031759336, 34.679221674623534, 34.67510335319143, 7412292.715063659,  nan, 0.136173053411806,  nan,  nan, 2.7382631531228734,  nan, 126.04135371827223, 1.3027835426090947e-14,  4.3614581688469386e-14,  nan, 7.704352800689351e-15,  1.5990332412575938e-21, 3.415522646041696e-26,  3.381180848075875e-24, 7.704352800689351e-15,  nan, 1.41094316527072e-18, 0.4085083163910941, 11443.003533315432, 5753.089994947898,  0.4085083163910941, 11443.003533315432,  5753.089994947898, 61.82599862564355, 173619.06375087524, 0.0035035459366984, 0.1135172066062008, 2.3749642090193275, 0.1135172066062008, 2.3749642090193275,  nan,  nan,  nan,  nan, 1.5578145170003534, 0.0002101847541272, 35.31283717539045, 128.07308052648483, -69.875, -155.125, -89.875, -179.875, -115.36510704403727, -74.1891187298937, -163.41850079638033, -67.3945982893115
2025 AUG 15 19:39:15, 808558824.1855587, 1968.8308240442043, 453.6824351424996, 2422.513259186704, 1856.903154633819, -155.160031971083, -69.99717107976215, -139.80630058593667, -72.8660549209106, 34.60092125133873, 34.61087068891188, 34.6058959701253, 7413199.371051206,  nan, 0.1361758113560453,  nan,  nan, 2.737268831747017,  nan, 130.39738756122904, 3.0663521921422015e-14,  4.9732203901100944e-14,  nan, 1.1916173629013167e-14,  1.5943044062516122e-21, 3.446734415683444e-26,  3.362055076908049e-24, 1.1916173629013167e-14,  nan, 1.402176819642219e-18, 0.2384916602263806, 11443.003533315432, 8724.316179788884,  0.23849166022638066, 11443.003533315432,  8724.316179788884, 61.77749304911518, 173619.06375087524, 0.003508319952041, 0.1135836276927219, 2.3749642090193275, 0.1135836276927219, 2.3749642090193275,  nan,  nan,  nan,  nan, 1.5607100695809153, 0.0002076958821308, 35.28243969659317, 128.14885976107686, -69.875, -155.125, -89.875, -179.875, -115.34561607034706, -74.22330512640649, -163.33715702912264, -67.43435827124944
2025 AUG 15 19:39:16, 808558825.1864367, 1966.265598499676, 453.3575267074716, 2419.623125207147, 1853.3556403732848, -155.08859203572004, -70.03197017192849, -139.76435513118108, -72.89566655867313, 34.53129162083663, 34.541181527354894, 34.53623657409577, 7408902.630647133,  nan, 0.1361741713315215,  nan,  nan, 2.7362063428224466,  nan, 130.36027905595964, 3.0221975823771743e-14,  5.124968147177287e-14,  nan, 1.3305592980113382e-14,  1.5895761358320942e-21, 3.478299735593194e-26,  3.34309453047248e-24, 8.00352140804267e-16,  nan, 1.3934523427940441e-18, 1.349811642625401, 9434.85405447534, 606.1038177056072,  0.1916220350997466, 11443.003533315432,  9551.98682441715, 61.72893464606226, 173619.06375087524, 0.0035131154276583, 0.1138191852311646, 2.3772528816795795, 0.1136503177612892, 2.3749642090193275,  nan,  nan,  nan,  nan, 1.5636191271625908, 0.0002052331453697, 35.25193086248573, 128.22469756871854, -69.875, -155.125, -89.875, -179.875, -115.3260116365881, -74.25750881084048, -163.2555273565848, -67.47407307674634
2025 AUG 15 19:39:17, 808558826.1873145, 1963.7037847991232, 453.0335746319944, 2416.737359431117, 1849.813064841636, -155.01691480558847, -70.06674197977118, -139.72223836655115, -72.92527517605576, 34.46164995106237, 34.47148068261633, 34.46656531683935, 7411137.791275267,  nan, 0.136193256864148,  nan,  nan, 2.735490271405869,  nan, 130.34424818168324, 3.020747068796172e-14,  4.6621204000191944e-14,  nan, 1.007374386013088e-14,  1.5848463781301613e-21, 3.510211866605854e-26,  3.324292899240475e-24, 1.0452157626712958e-15,  nan, 1.384769729552631e-18, 1.22168300385338, 9434.85405447534, 775.8984783509084,  0.32833259407984833, 11443.003533315432,  7091.760431324846, 61.68032327356613, 173619.06375087524, 0.0035179324887022, 0.1138856929435561, 2.3772528816795795, 0.1137168539234985, 2.3749642090193275,  nan,  nan,  nan,  nan, 1.566541668388468, 0.000202796344554, 35.22131118786808, 128.30059287429438, -69.875, -155.125, -89.875, -179.875, -115.30629291563802, -74.29172979776902, -163.17361059506308, -67.51374245977966
2025 AUG 15 19:39:18, 808558827.1881925, 1961.145393880009, 452.71058279596696, 2413.8559766759754, 1846.275455605468, -154.9449992349521, -70.10148638513157, -139.67994934791682, -72.95488070140625, 34.39199727804242, 34.40176944597168, 34.396883362007046, 7411863.268386752,  nan, 0.1362051273030888,  nan,  nan, 2.734656631689584,  nan, 130.3734006234229, 3.0621199697507914e-14,  4.1816335072726074e-14,  nan, 6.103925319825663e-15,  1.5801152404567433e-21, 3.54247501303353e-26,  3.305648437881716e-24, 2.325843707433865e-15,  nan, 1.3761289740541457e-18, 0.8543800452303585, 10360.170583304069, 1725.7963307376306,  0.5210950594354535, 11443.003533315432,  4214.214521958725, 61.631658862759295, 173619.06375087524, 0.0035227712538579, 0.1139520458304983, 2.3772528816795795, 0.1137832351379921, 2.3749642090193275,  nan,  nan,  nan,  nan, 1.5694776698109003, 0.0002003852808343, 35.19058120723765, 128.376544591317, -69.875, -155.125, -89.875, -179.875, -115.2864590641289, -74.32596803519229, -163.09140553139764, -67.55336618701041
2025 AUG 15 19:39:19, 808558828.1890705, 1958.5904383857935, 452.38855483046495, 2410.9789932162585, 1842.7428416935552, -154.87284430160275, -70.13620324862772, -139.6374871933392, -72.98448309307022, 34.32233469740405, 34.33204910866826, 34.32719190303615, 7411585.585337114,  nan, 0.1362108678412271,  nan,  nan, 2.7337220506604107,  nan, 130.28635891346298, 2.980435679369738e-14,  4.056126947793516e-14,  nan, 4.085876212166065e-15,  1.5753828248786897e-21, 3.575093457039162e-26,  3.2871594309921633e-24, 3.4982473842787268e-15,  nan, 1.3675300690421929e-18, 0.7008308468489629, 10360.170583304069, 2544.707714844285,  0.6257187763407273, 9228.618685286612,  3031.7489974748532, 61.58294126011094, 173619.06375087524, 0.0035276318510874, 0.1140182428338578, 2.3772528816795795, 0.1140182428338578, 2.3772528816795795,  nan,  nan,  nan,  nan, 1.5724271073341225, 0.0001979997560167, 35.15974145998156, 128.45255161524634, -70.125, -154.625, -89.875, -179.875, -115.2665092433956, -74.36022356424375, -163.00891089074904, -67.59294398464334
2025 AUG 15 19:39:20, 808558829.1899484, 1956.0389290060907, 452.0674960450014, 2408.106425051092, 1839.215251853422, -154.80044901520893, -70.17089250988494, -139.5948510183552, -73.01408230202625, 34.252663221557455, 34.26232121922246, 34.25749222038996, 7413355.728559876,  nan, 0.1362308777826033,  nan,  nan, 2.733024888072693,  nan, 130.1967938251447, 2.9202917951980493e-14,  4.331171803825013e-14,  nan, 6.82732331242324e-15,  1.5706492275989916e-21, 3.6080715222808567e-26,  3.2688241767814027e-24, 4.851622596238625e-15,  nan, 1.3589730164509149e-18, 0.5843538417543412, 10360.170583304069, 3460.099604454063,  0.4265833524098013, 9228.618685286612,  4966.484864368019, 61.53417036314869, 173619.06375087524, 0.0035325144041706, 0.1140842828247473, 2.3772528816795795, 0.1140842828247473, 2.3772528816795795,  nan,  nan,  nan,  nan, 1.575389951623838, 0.0001956395742876, 35.12879253788704, 128.52861276774158, -70.125, -154.625, -89.875, -179.875, -115.2464425964707, -74.39449632413599, -162.9261256472591, -67.63247565693517
2025 AUG 15 19:39:21, 808558830.1908264, 1953.490882632342, 451.7474055314616, 2405.238288163804, 1835.692715281092, -154.7278126512607, -70.20555395021104, -139.55203992165843, -73.04367828904932, 34.18298429763472, 34.192586119410095, 34.187785208522406, 7413630.175110968,  nan, 0.1362375624790743,  nan,  nan, 2.7321051864276487,  nan, 130.15820097966454, 2.8958367323305593e-14,  4.855433139265497e-14,  nan, 1.0202114164340216e-14,  1.5659145521098663e-21, 3.641413612931657e-26,  3.250641005383472e-24, 1.0202114164340216e-14,  nan, 1.3504578083151221e-18, 0.247161750877123, 9228.618685286612, 7276.372911001369,  0.24716175087712303, 9228.618685286612,  7276.372911001369, 61.4853460137201, 173619.06375087524, 0.0035374190433665, 0.1141501650510496, 2.3772528816795795, 0.1141501650510496, 2.3772528816795795,  nan,  nan,  nan,  nan, 1.5783661752849214, 0.0001933045386936, 35.097735010190334, 128.60472690880763, -70.125, -154.625, -89.875, -179.875, -115.2262582648125, -74.42878635964686, -162.84304850553815, -67.67196093184779
