# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
-179.875, -89.875, 4.81498362887258e-24, nan 
-179.625, -89.875, 3.7852036553644896e-24, nan 
-179.375, -89.875, 3.869362674455875e-24, nan 
-179.125, -89.875, 4.743749188073897e-24, nan 
-178.875, -89.875, 5.004110432382214e-24, nan 
-178.625, -89.875, 4.433873223133904e-24, nan 
-178.375, -89.875, 4.370754273724552e-24, nan 
-178.125, -89.875, 4.43034398620098e-24, nan 
-177.875, -89.875, 4.307924654789709e-24, nan 
-177.625, -89.875, 3.880940228502478e-24, nan 
-177.375, -89.875, 3.645035208085556e-24, nan 
-177.125, -89.875, 4.751425818618356e-24, nan 
-176.875, -89.875, 6.386247553575869e-24, nan 
-176.625, -89.875, 4.8741986223721435e-24, nan 
-176.375, -89.875, 4.2357608156069434e-24, nan 
-176.125, -89.875, 3.504582327690768e-24, nan 
-175.875, -89.875, 2.953451690933549e-24, nan 
-175.625, -89.875, 3.1566935439790704e-24, nan 
-175.375, -89.875, 3.446371340204667e-24, nan 
-175.125, -89.875, 3.548769874840517e-24, nan 
-174.875, -89.875, 3.7998857099922174e-24, nan 
-174.625, -89.875, 4.923769600196446e-24, nan 
-174.375, -89.875, 4.905909150057407e-24, nan 
-174.125, -89.875, 5.003573225690328e-24, nan 
-173.875, -89.875, 4.885472149636953e-24, nan 
-173.625, -89.875, 4.3325158471412386e-24, nan 
-173.375, -89.875, 3.2835172884544718e-24, nan 
-173.125, -89.875, 1.7365809183991798e-24, nan 
-172.875, -89.875, 1.3983723333370291e-24, nan 
-172.625, -89.875, 1.7082454640400005e-24, nan 
-172.375, -89.875, 2.0961591448313363e-24, nan 
-172.125, -89.875, 1.3451196845743403e-24, nan 
-171.875, -89.875, 1.1648757230847424e-24, nan 
-171.625, -89.875, 1.383415130568091e-24, nan 
-171.375, -89.875, 1.5714681559725603e-24, nan 
-171.125, -89.875, 2.047447082511134e-24, nan 
-170.875, -89.875, 2.0817204400173956e-24, nan 
-170.625, -89.875, 2.9473002514217508e-24, nan 
-170.375, -89.875, 2.7744760555159183e-24, nan 
-170.125, -89.875, 3.185313244742819e-24, nan 
-169.875, -89.875, 4.8470076086350615e-24, nan 
-169.625, -89.875, 4.990345240563578e-24, nan 
-169.375, -89.875, 5.801689250704423e-24, nan 
-169.125, -89.875, 5.714014595357878e-24, nan 
-168.875, -89.875, 5.849442812032557e-24, nan 
