# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
-179.875, -89.875, 1.4656229601679375e-23, nan 
-179.625, -89.875, 1.1522688235324337e-23, nan 
-179.375, -89.875, 1.178175249544626e-23, nan 
-179.125, -89.875, 1.444100292581995e-23, nan 
-178.875, -89.875, 1.523920827374245e-23, nan 
-178.625, -89.875, 1.3505366197060622e-23, nan 
-178.375, -89.875, 1.33151126737174e-23, nan 
-178.125, -89.875, 1.3500297340346032e-23, nan 
-177.875, -89.875, 1.3126068314988639e-23, nan 
-177.625, -89.875, 1.1821041470052266e-23, nan 
-177.375, -89.875, 1.1099161836391763e-23, nan 
-177.125, -89.875, 1.4475228106916424e-23, nan 
-176.875, -89.875, 1.946289318331775e-23, nan 
-176.625, -89.875, 1.485905250879547e-23, nan 
-176.375, -89.875, 1.2911901268590371e-23, nan 
-176.125, -89.875, 1.0678793639980642e-23, nan 
-175.875, -89.875, 8.994660548668063e-24, nan 
-175.625, -89.875, 9.612911225282815e-24, nan 
-175.375, -89.875, 1.0498835365146795e-23, nan 
-175.125, -89.875, 1.0811198971446405e-23, nan 
-174.875, -89.875, 1.1580050741733807e-23, nan 
-174.625, -89.875, 1.5002911357749372e-23, nan 
-174.375, -89.875, 1.4945658769406455e-23, nan 
-174.125, -89.875, 1.5244329673208845e-23, nan 
-173.875, -89.875, 1.4885924477940466e-23, nan 
-173.625, -89.875, 1.320061294501064e-23, nan 
-173.375, -89.875, 1.0002596177982648e-23, nan 
-173.125, -89.875, 5.2880289818113135e-24, nan 
-172.875, -89.875, 4.256271176013082e-24, nan 
-172.625, -89.875, 5.1988419271208606e-24, nan 
-172.375, -89.875, 6.3793388828016e-24, nan 
-172.125, -89.875, 4.093915342252326e-24, nan 
-171.875, -89.875, 3.54488961323475e-24, nan 
-171.625, -89.875, 4.2099448394314e-24, nan 
-171.375, -89.875, 4.78595467593244e-24, nan 
-171.125, -89.875, 6.235603537881564e-24, nan 
-170.875, -89.875, 6.3379985276765734e-24, nan 
-170.625, -89.875, 8.974841064775567e-24, nan 
-170.375, -89.875, 8.447739499296266e-24, nan 
-170.125, -89.875, 9.710093254447357e-24, nan 
-169.875, -89.875, 1.4785710063210968e-23, nan 
-169.625, -89.875, 1.522846203231146e-23, nan 
-169.375, -89.875, 1.77044118787026e-23, nan 
-169.125, -89.875, 1.7438077987880992e-23, nan 
-168.875, -89.875, 1.7848959537489444e-23, nan 
-168.625, -89.875, 1.7338497108427802e-23, nan 
-168.375, -89.875, 1.8254567109798708e-23, nan 
-168.125, -89.875, 1.7242025154579826e-23, nan 
-167.875, -89.875, 1.6653380448796158e-23, nan 
-167.625, -89.875, 1.5622215230563156e-23, nan 
-167.375, -89.875, 1.5722711915616993e-23, nan 
-167.125, -89.875, 1.48155086293708e-23, nan 
-166.875, -89.875, 1.589804960451124e-23, nan 
-166.625, -89.875, 1.4527372389505752e-23, nan 
-166.375, -89.875, 1.5466841276945923e-23, nan 
-166.125, -89.875, 1.4836642626413192e-23, nan 
