# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2024 FEB 11 01:53:19, 760888468.1850172, 5576.547222778169, 1258.5086111059468, -288.5354092874747, 3122.6906928322082, -12.912909987540484, 67.81820957209165, 67.53600168404859, 23.073794532786106, 23.083188633796528, 5888.16858509701, 464.0171965537719, 5.843886690662239, 62.1983160972059
2024 FEB 11 01:53:20, 760888469.1866866, 5576.093129220827, 1260.5331191876458, -287.6651018232246, 3121.962970133714, -12.855269697968989, 67.78593626910623, 67.50340421208894, 23.006776191093078, 23.016340553617844, 5888.398753567077, 463.8013757752999, 5.850267961760159, 62.19181407632222
2024 FEB 11 01:53:21, 760888470.1883562, 5575.645446857846, 1262.5564108340818, -286.7938363965101, 3121.234113478505, -12.797758493511004, 67.75362977822144, 67.47079929664726, 22.93982220406291, 22.949549682704834, 5888.632594595877, 463.5864056331708, 5.856645683122257, 62.18531147767576
2024 FEB 11 01:53:22, 760888471.1900256, 5575.204180129099, 1264.5806794846321, -285.9232637500464, 3120.5030956851483, -12.740425549555209, 67.7212990775207, 67.4381445233101, 22.872929163965004, 22.882837482543668, 5888.870049580824, 463.37234876712967, 5.863019857925394, 62.17880830587331
2024 FEB 11 01:53:23, 760888472.191695, 5574.769334938068, 1266.6011016787018, -285.0575878005292, 3119.7714696257094, -12.683498131189614, 67.6889848254822, 67.40550759970829, 22.806263341339722, 22.81536485675957, 5889.113612097507, 463.15671603983077, 5.869390442574155, 62.17230458505223
2024 FEB 11 01:53:24, 760888473.1933645, 5574.340915496028, 1268.6239218051596, -284.186047646461, 3119.0377052624954, -12.626451395150383, 67.656593664601, 67.37281859009826, 22.739504739273666, 22.748760497374338, 5889.358450109263, 462.94433724413705, 5.875757486681054, 62.165800300949705
2024 FEB 11 01:53:25, 760888474.1950339, 5573.918926992476, 1270.647749398897, -283.3151673618172, 3118.3017657681075, -12.569579650431045, 67.62417825954917, 67.34007954472122, 22.672808310776855, 22.682242988808646, 5889.606894265663, 462.7328856282022, 5.882120945332923, 62.15929547987953
2024 FEB 11 01:53:26, 760888475.1967034, 5573.503375147403, 1272.6714086688037, -282.44418735289065, 3117.5641905746434, -12.512861042040502, 67.5917348912708, 67.3073128593377, 22.606179309308406, 22.615790523906554, 5889.859015294621, 462.5222950948299, 5.888480847098936, 62.152790113837376
2024 FEB 11 01:53:27, 760888476.1983728, 5573.09426427409, 1274.6937523713034, -281.5723370182586, 3116.8255112444435, -12.456272862960644, 67.55925972844696, 67.27454044551578, 22.539622039959323, 22.549386300902338, 5890.114867367331, 462.31250976229285, 5.894837188157156, 62.14628421471588
2024 FEB 11 01:53:28, 760888477.2000422, 5572.691600089471, 1276.7171896644422, -280.70103630710605, 3116.084626902867, -12.399852608271924, 67.5267596061835, 67.2417171161281, 22.47312572165384, 22.48309011422508, 5890.37428232351, 462.1037018870111, 5.901189997555097, 62.13977777567716
2024 FEB 11 01:53:29, 760888478.2017118, 5572.295386748483, 1278.7368207454208, -279.8346844467113, 3115.3431314003697, -12.34383380590804, 67.49427603075769, 67.20891176455488, 22.406861684352755, 22.416033150218343, 5890.639785665579, 461.8933504122084, 5.90753923220078, 62.133270820198646
2024 FEB 11 01:53:30, 760888479.2033812, 5571.905629610461, 1280.7583621596807, -278.9629764045208, 3114.599624754445, -12.287721275975873, 67.46172149131593, 67.17606069494046, 22.34052715518834, 22.349763795749457, 5890.906881533203, 461.68594879017945, 5.913884916305829, 62.12676334650275
2024 FEB 11 01:53:31, 760888480.2050506, 5571.522333157611, 1282.7816016236902, -278.0909818822988, 3113.853736382935, -12.231733840706196, 67.42913496089209, 67.1431513504897, 22.27422909037166, 22.2837421005949, 5891.177153300732, 461.47991749624106, 5.920227074122577, 62.1202553490566
2024 FEB 11 01:53:32, 760888481.2067201, 5571.145502970076, 1284.8043375102604, -277.219339760107, 3113.1063028056633, -12.175918764780928, 67.39652496592639, 67.11021898336901, 22.208017808437788, 22.217716976386388, 5891.451332323292, 461.27452948610244, 5.926565644373196, 62.11374685979105
