# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2024 JAN 23 03:49:07, 759253816.1845381, 5354.092711803479, -517.0698243820536, 718.3877165701676, 3259.5214181514084, 125.74499188561528, 75.00809359767426, 74.80766203692511, 28.590520372895668, 28.599616429984554, 5601.794604138242, 485.48327757559565, 162.1940813895598, 70.53609306097725
2024 JAN 23 03:49:08, 759253817.1862075, 5353.085716835244, -518.5865996739979, 716.6486903014008, 3259.6615974180245, 125.8905278956619, 75.01717370984436, 74.81683960883382, 28.517075183125897, 28.526278238199975, 5601.7438378134475, 485.19888385986263, 162.23081820070473, 70.53795365700478
2024 JAN 23 03:49:09, 759253818.187877, 5352.0838110665, -520.1038217249057, 714.9093288491348, 3259.800158551847, 126.03627118890947, 75.02615426263517, 74.8259165800219, 28.44360993418229, 28.45292162896479, 5601.695938876306, 484.915370298825, 162.2675551201184, 70.53980243146017
2024 JAN 23 03:49:10, 759253819.1895465, 5351.087001996274, -521.6206466152886, 713.1683123598042, 3259.937519414994, 126.18222660188675, 75.03503490704897, 74.83491867198339, 28.370125203997485, 28.37954460511792, 5601.650919828306, 484.6327277470302, 162.30429209167528, 70.54163939346476
2024 JAN 23 03:49:11, 759253820.1912159, 5350.095296637595, -523.1387828664208, 711.4282954989156, 3260.072834628564, 126.32838065631186, 75.04381561873537, 74.84379331389908, 28.296619770744975, 28.306153514373936, 5601.608760391044, 484.3509793311961, 162.3410290661954, 70.54346455260533
2024 JAN 23 03:49:12, 759253821.1928854, 5349.1087017677155, -524.6573547414953, 709.6879504831669, 3260.206529137013, 126.47473653048738, 75.05249608450487, 74.85256666020202, 28.223094695646807, 28.232743522300773, 5601.569484054134, 484.0701047486876, 162.37776599727178, 70.54527791810119
2024 JAN 23 03:49:13, 759253822.1945548, 5348.127225381274, -526.1763668887894, 707.9472746832114, 3260.3386018416945, 126.621293002802, 75.06107607254451, 74.86123846658089, 28.14954990196142, 28.159315724479434, 5601.533091178633, 483.79010685931024, 162.41450282431342, 70.54707949889975
2024 JAN 23 03:49:14, 759253823.1962243, 5347.150873760929, -527.6949810709272, 706.2049508518259, 3260.4694678434694, 126.76805609621803, 75.06955519763545, 74.86983432874514, 28.075985875420574, 28.085868443591227, 5601.499593444212, 483.510977007519, 162.45123947901536, 70.54886931596158
2024 JAN 23 03:49:15, 759253824.1978937, 5346.179654569283, -529.2084734006571, 704.4676691904536, 3260.5984544598223, 126.91451810299918, 75.07794397353837, 74.87831293883973, 28.00259730580353, 28.01148593197617, 5601.472536491666, 483.22917281068874, 162.48797597836082, 70.55064734659453
2024 JAN 23 03:49:16, 759253825.1995631, 5345.213574840166, -530.7287501687988, 702.7260634863446, 3260.7256566326423, 127.06166156149312, 75.08622159859816, 74.88667880936956, 27.928995651523355, 27.937995972539422, 5601.444842538382, 482.95177502426884, 162.52471220272952, 70.55241363022456
2024 JAN 23 03:49:17, 759253826.2012327, 5344.25264148165, -532.2494593533231, 700.9841318524041, 3260.8512336030667, 127.20899860444504, 75.09439786068083, 74.8949422425911, 27.855374620420864, 27.864488471589894, 5601.420048983489, 482.67524939508036, 162.5614481295968, 70.55416816716263
