# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 APR 05 16:56:04, 797144233.1856562, 2395.9881015101155, 919.0894320023114, -953.5749427908195, 3108.9039210195265, -46.05499465986937, 67.18309653000449, 66.92588801827227, 78.60643076364349, 78.61630429533325, 1223.414107279443, 1220.7662756222082, -46.01014982716293, 66.93204111171524
2025 APR 05 16:56:05, 797144234.1873256, 2390.419204271833, 918.2012322622671, -951.840016433911, 3109.688613188953, -46.03054011201598, 67.21717286160123, 66.960200569257, 78.53179031514127, 78.5414867957878, 1221.1575549127158, 1217.985211178401, -45.97624636847622, 66.96467275727512
2025 APR 05 16:56:06, 797144235.1889951, 2384.8491358870015, 917.3092500902228, -950.1089305315182, 3110.4718434924075, -46.006250266045605, 67.25126082845547, 66.99449813118962, 78.45700673615185, 78.466313232038, 1218.9073802919943, 1215.2002164895573, -45.94226319324976, 66.99727628160593
2025 APR 05 16:56:07, 797144236.1906645, 2379.2779068010154, 916.4283048952191, -948.3731543862455, 3111.251872145545, -45.98140530730728, 67.28522962043614, 67.02870345575153, 78.38163523622985, 78.39122615594906, 1216.6470139668575, 1212.4278871459162, -45.90820002515784, 67.02985169292133
2025 APR 05 16:56:08, 797144237.1923339, 2373.705525625733, 915.5446848028141, -946.6393174718032, 3112.030696790323, -45.95663246016754, 67.31919337927793, 67.0629043720872, 78.30607466721698, 78.31582380163276, 1214.3914509332199, 1209.6532507356499, -45.87405658243473, 67.06239901444805
2025 APR 05 16:56:09, 797144238.1940035, 2368.1320009944257, 914.6587236554043, -944.9072996380506, 3112.8082583818386, -45.93191792222049, 67.35314952194715, 67.09709827417667, 78.23031507589621, 78.2401133068513, 1212.1403512104282, 1206.8766718711272, -45.83983261443573, 67.09491825205154
2025 APR 05 16:56:10, 797144239.1956729, 2362.557343438641, 913.7712750371729, -943.1782672291829, 3113.58396215696, -45.90727059344982, 67.38709963260017, 67.13125936171194, 78.15434324656226, 78.16410527443784, 1209.8932594093508, 1204.0986291252843, -45.80552777692288, 67.12740944621552
2025 APR 05 16:56:11, 797144240.1973423, 2356.9815614268787, 912.8816356501202, -941.4495256862143, 3114.3588218800755, -45.88263093656453, 67.42103287025142, 67.1654313875776, 78.07815527038171, 78.08780089569258, 1207.6500677563483, 1201.3192554000575, -45.77114184349293, 67.15987258828785
2025 APR 05 16:56:12, 797144241.1990118, 2351.4046644092045, 911.9905378406878, -939.7222795179202, 3115.1322658270747, -45.85801262819578, 67.454951724853, 67.19958957064317, 78.00174119885403, 78.01120735297253, 1205.4104467774694, 1198.5389043690782, -45.73667446855325, 67.19230772768151
2025 APR 05 16:56:13, 797144242.2006812, 2345.8266627549765, 911.0981631006102, -937.9964648320163, 3115.904262835614, -45.8334081170079, 67.48885478222347, 67.23373248354487, 77.92509495273572, 77.93432792408979, 1203.1742198503443, 1195.7577783783247, -45.702125404640576, 67.22471486012519
