# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 OCT 13 00:38:36, 813587985.1823572, 3726.527614625252, -728.8815016505022, 1589.4122884639633, -2894.3244080040467, 114.6355056906947, -58.660544245343516, -58.862349192917705, 90.99898420675304, 91.00856441759183, 2018.1055928118792, 1709.003593842566, 114.04120702717131, -61.48527767285631
2025 OCT 13 00:38:37, 813587986.1832352, 3720.204143080303, -729.887090939423, 1588.4656831762597, -2894.587528869079, 114.67839716113029, -58.669987086667305, -58.87104705834526, 90.95849108116195, 90.96797827585517, 2014.2347834286804, 1706.5054448583282, 114.09185526519668, -61.48168833254572
2025 OCT 13 00:38:38, 813587987.1841131, 3713.8779624657386, -730.884159956885, 1587.5072495672553, -2894.8585110523604, 114.7212186851217, -58.67969865669717, -58.88000709522946, 90.91763329947713, 90.92760464712046, 2010.3466548367041, 1704.0238256355326, 114.14244685701946, -61.47808117317844
2025 OCT 13 00:38:39, 813587988.1849911, 3707.5490773660918, -731.8889061675164, 1586.5628563380521, -2895.119292989337, 114.76409818519328, -58.68908141589443, -58.88863207087202, 90.87699150970859, 90.88686540169242, 2006.4766714695463, 1701.5232765589576, 114.19298187863033, -61.474456251579575
2025 OCT 13 00:38:40, 813587989.1858691, 3701.217491576759, -732.8931949814951, 1585.619506654927, -2895.378952089033, 114.8069711442835, -58.698435745986885, -58.8972220651684, 90.83627347969983, 90.84605030936206, 2002.6070213366638, 1699.021615705045, 114.24346041114197, -61.47081360520728
2025 OCT 13 00:38:41, 813587990.186747, 3694.8832117150164, -733.8970311999647, 1584.6772018562394, -2895.637488205378, 114.84983757829852, -58.707761719947, -58.90577704703215, 90.79547891757736, 90.80515900414817, 1998.7377118440888, 1696.518842441423, 114.29388253160805, -61.467153272990195
2025 OCT 13 00:38:42, 813587991.1876249, 3688.546240161637, -735.3083681942893, 1583.495620288909, -2895.9224391231837, 114.90816130294843, -58.64206711391249, -58.91537595116388, 90.75454731718106, 90.76424978354265, 1994.8651979483668, 1694.0183007832231, 114.34424832805465, -61.463475309598394
2025 OCT 13 00:38:43, 813587992.1885029, 3682.206582244903, -736.3081451401854, 1582.5515630957505, -2896.1813827267715, 114.95097863274799, -58.65090897158981, -58.923948253178274, 90.71350419134741, 90.7232987420538, 1990.9908787662032, 1691.5190077039847, 114.39455787645184, -61.45977975263956
2025 OCT 13 00:38:44, 813587993.1893809, 3675.864241931796, -737.3135315360942, 1581.6183333771066, -2896.432403873443, 114.99383399289647, -58.65949541240137, -58.93226035803583, 90.67260367997444, 90.68205095788738, 1987.1302777261906, 1689.0052412661407, 114.44481129941599, -61.45606664226947
2025 OCT 13 00:38:45, 813587994.1902589, 3669.5192250531086, -738.3104608559293, 1580.6733768020802, -2896.6912156023336, 115.03662137751625, -58.66834850075153, -58.940832606296816, 90.63133570020604, 90.64101364260192, 1983.2525227809995, 1686.50787811955, 114.49500859225873, -61.45233602791335
2025 OCT 13 00:38:46, 813587995.1911368, 3663.1715348946796, -739.3076679685516, 1579.733851348854, -2896.9463636064033, 115.07936270985995, -58.67736597934052, -58.949288563080685, 90.59006846234989, 90.59981925501778, 1979.3799577397174, 1684.004581727838, 114.54514992064387, -61.44858794689853
2025 OCT 13 00:38:47, 813587996.1920148, 3656.8211767979305, -740.3101625936032, 1578.8014405865058, -2897.1956820288565, 115.12218308973257, -58.685919040533875, -58.95755049400626, 90.54887831149843, 90.55839095002896, 1975.5171992848166, 1681.4907394685524, 114.59523527731066, -61.444822447010566
