# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 SEP 30 19:33:20, 812532869.1823483, 3503.1263481525148, -838.1205591800532, 3264.345494023034, -416.70922618198836, 104.39965570467857, -6.980237183796393, -7.048558261101758, 89.71187004582444, 89.72166414512498, 1831.2152503332907, 1672.1143954433053, 104.63066449290098, -8.367486806465234
2025 SEP 30 19:33:21, 812532870.1856928, 3496.886638285136, -838.4224111387966, 3264.3760222514943, -415.87195191215784, 104.404496937513, -6.966155771473965, -7.034321789991705, 89.64835341918109, 89.6581476561748, 1828.752385678969, 1668.35917946395, 104.63762054421271, -8.363178302698634
2025 SEP 30 19:33:22, 812532871.1890372, 3490.6447045676036, -838.7230986877998, 3264.4065943997043, -415.0347534711468, 104.40931851214435, -6.952076086337702, -7.020087060268427, 89.58469777337848, 89.59448796602625, 1826.2915707354439, 1664.6039565216163, 104.64456394235818, -8.358875010675968
2025 SEP 30 19:33:23, 812532872.1923817, 3484.4005527259988, -839.022605188878, 3264.437230158977, -414.1975137503639, 104.41412007413793, -6.937996160252269, -7.005852079769397, 89.52090463518299, 89.53068201164446, 1823.8329301081053, 1660.8486099365584, 104.6514947132153, -8.354576903186167
2025 SEP 30 19:33:24, 812532873.1957262, 3478.1541916103847, -839.3209255688934, 3264.4676799805434, -413.3621928501118, 104.41890259904217, -6.923921472030079, -6.991650119523524, 89.45693974476988, 89.46676279814537, 1821.374519627465, 1657.0951016005984, 104.65841288005856, -8.350283973273482
2025 SEP 30 19:33:25, 812532874.1990707, 3471.905629395901, -839.6181898897466, 3264.498305999681, -412.5257113123419, 104.42366669838778, -6.909855202084685, -6.977428927033131, 89.39285554846687, 89.40267640427876, 1818.919396899874, 1653.3403843440751, 104.66531851296995, -8.345996217133784
2025 SEP 30 19:33:26, 812532875.2024151, 3465.654874944309, -839.9143024217205, 3264.528963911129, -411.6893881495279, 104.42841140953111, -6.895792039287372, -6.963210874455919, 89.32862919253596, 89.33844438727314, 1816.4662736775201, 1649.585764278249, 104.6722116325887, -8.341713628067588
2025 SEP 30 19:33:27, 812532876.2057596, 3459.4019348630377, -840.2092644009991, 3264.5596527289817, -410.85323202642275, 104.43313675979849, -6.881732137213496, -6.948996107891456, 89.26425996252007, 89.27406590096317, 1814.0151459936528, 1645.8312535284376, 104.67909226618016, -8.337436179255786
2025 SEP 30 19:33:28, 812532877.2091041, 3453.1468188635426, -840.5030680662503, 3264.5903840150118, -410.0171711601343, 104.43784257524003, -6.867674283457877, -6.934783405863736, 89.19974879527685, 89.20953867100474, 1811.5660993165995, 1642.076783843012, 104.68596049418205, -8.333163884640891
2025 SEP 30 19:33:29, 812532878.2124486, 3446.88953361465, -840.7956548918066, 3264.620971052292, -409.1827996578236, 104.442528686837, -6.853617800540594, -6.920599811453749, 89.13506761139695, 89.14488944285289, 1809.1175591842216, 1638.3239402865136, 104.69281629712312, -8.328896705820384
