# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 JUL 14 20:03:08, 805795457.1837292, 721.2616733130923, -1755.2495268385742, 2325.170406067098, 1735.2310845875463, 127.04881576536151, 31.117134347020883, 30.779008634832515, 28.316745372721137, 28.32478146906229, 863.6105126367622, 458.75089456107435, 125.46658668879853, 30.561626861479386
2025 JUL 14 20:03:18, 805795467.5285567, 731.1897784753298, -1749.8651679971092, 2309.0993642582976, 1761.613342360671, 127.15531660457034, 31.64251005684232, 31.30094291670801, 28.309988889530878, 28.31898907996402, 875.4266696533879, 459.1135811161981, 125.52012528917165, 31.085874017371587
2025 JUL 14 20:03:29, 805795477.8733844, 741.2649114030459, -1744.3834916760484, 2292.8394988110413, 1787.7806694785036, 127.26373817246437, 32.16643100499202, 31.821569377252672, 28.30433041040263, 28.311764416074556, 887.3633185648767, 459.47062101203613, 125.5744093153034, 31.608632935679115
2025 JUL 14 20:03:39, 805795488.2182119, 751.4835205753437, -1738.7886933346824, 2276.410951715996, 1813.7264682122714, 127.37364038994278, 32.688841260674145, 32.340780337885576, 28.297863060723664, 28.306179462888483, 899.4064238457154, 459.83343516337686, 125.62945995888772, 32.129894196718894
2025 JUL 14 20:03:49, 805795498.5630395, 761.8422583045441, -1733.0887075346739, 2259.8073978200728, 1839.4549174154286, 127.48527569381284, 33.20978747720484, 32.858673862272965, 28.291404023534927, 28.30068762539486, 911.5593397670709, 460.1961713706648, 125.68529890860835, 32.64964869431171
2025 JUL 14 20:04:00, 805795508.9078671, 772.3379756099997, -1727.2947141772331, 2243.0229952914992, 1864.9661506244731, 127.59894921475063, 33.729317717060084, 33.37527353880048, 28.28584932829309, 28.293573373714832, 923.8261751664868, 460.5523303309406, 125.74194836202265, 33.16788757693658
2025 JUL 14 20:04:10, 805795519.2526947, 782.9677100542058, -1721.389911547948, 2226.077596027999, 1890.2553642916237, 127.71420307258819, 34.247381125203326, 33.890501739787304, 28.279356606621885, 28.28797555961069, 936.1929428109196, 460.9135980329962, 125.79943105728981, 33.68460230803748
2025 JUL 14 20:04:20, 805795529.5975223, 793.7286923613266, -1715.3823506494086, 2208.9645082703714, 1915.3266181905474, 127.83130365954199, 34.76402132996002, 34.404454039623566, 28.272760259937503, 28.28235561571807, 948.6632899201499, 461.2741435148621, 125.8577702644813, 34.19978453236705
2025 JUL 14 20:04:31, 805795539.9423498, 804.6183271677694, -1709.2833627010423, 2191.6776534340233, 1940.1799537883744, 127.9505702490317, 35.279283345928164, 34.917150638464264, 28.266970577427962, 28.275004346598713, 961.2416077715833, 461.6274829512258, 125.91698985867626, 34.71342625091932
2025 JUL 14 20:04:41, 805795550.2871774, 815.6341962843983, -1703.0758199787817, 2174.2371711432984, 1964.8109138280365, 128.07153038409385, 35.793120587291796, 35.42851767231035, 28.260194292548462, 28.269137527491544, 973.9139067148437, 461.98560584335564, 125.97711429819668, 35.22551966818187
