# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 AUG 16 10:14:16, 808611325.1829119, 4100.724227432736, -2727.9705135973913, 493.4723874888838, 1950.2804867563461, 169.74644170580217, 35.44691348568706, 35.1264509426925, 88.45753369501854, 88.46701914809452, 2456.876061133787, 1645.5925803584169, 176.7790714508354, 31.862523111605523
2025 AUG 16 10:14:26, 808611335.5277394, 4081.145904436446, -2708.9097883133663, 488.1186293062475, 1977.6759146921327, 169.7854784973574, 36.020680509331065, 35.69693108411439, 88.11051182538073, 88.12039781299231, 2456.6276927998642, 1626.9623416353568, 176.98261632557012, 32.35460463267573
2025 AUG 16 10:14:37, 808611345.872567, 4061.390402071859, -2689.7108471349566, 482.71431754988174, 2004.6990728372002, 169.8256096683267, 36.59068106250324, 36.263780818444964, 87.75930142019475, 87.76896072340965, 2456.3717545733534, 1608.3067731633057, 177.1873917896042, 32.84234973254072
2025 AUG 16 10:14:47, 808611356.2173946, 4041.463065118759, -2670.388783798916, 477.24027284848995, 2031.3453904960948, 169.86732050365472, 37.156791767904984, 36.82687757516323, 87.40357985386501, 87.41299836564475, 2456.0901308056204, 1589.6515085570873, 177.39343343986843, 33.32577676801234
2025 AUG 16 10:14:57, 808611366.5622222, 4021.3693330925885, -2650.958461271931, 471.67804256682575, 2057.610786501335, 169.91109432242598, 37.718894158835276, 37.38610345425653, 87.04302698328624, 87.05280222020723, 2455.765493618314, 1571.0213688200085, 177.60077686334435, 33.80490499266512
2025 AUG 16 10:15:08, 808611376.9070498, 4001.114760708413, -2631.412818044985, 466.05062414433604, 2083.509705864218, 169.95647171785527, 38.27726458116501, 37.94173385992093, 86.67822761396661, 86.68772454075406, 2455.430785189269, 1552.3909006279048, 177.8094576930221, 34.27975436439184
2025 AUG 16 10:15:18, 808611387.2518773, 3980.705007077756, -2611.773841928181, 460.32559303922255, 2109.0320501516235, 170.00426808126113, 38.83165148229492, 38.49351803354746, 86.30854887418322, 86.3183785481373, 2455.05173860842, 1533.8018446019382, 178.01951165953182, 34.750345473713026
2025 AUG 16 10:15:28, 808611397.596705, 3960.145846429871, -2592.0330129514837, 454.5254249289738, 2134.1935027798486, 170.0540313231733, 39.38233150644735, 39.041759105494585, 85.93459107652474, 85.94408927722635, 2454.6617671828144, 1515.2282559990097, 178.23097448618822, 35.21669961441834
2025 AUG 16 10:15:39, 808611407.9415325, 3939.443171706796, -2572.2140606109265, 448.6186275127904, 2158.981849909866, 170.10658430576726, 39.92905582483766, 39.58615359536711, 85.55569016104135, 85.56550654352365, 2454.225692957657, 1496.7127700294245, 178.44388193214664, 35.67883864362394
2025 AUG 16 10:15:49, 808611418.2863601, 3918.602986158943, -2552.3076916819646, 442.62799314764146, 2183.4130112472235, 170.1614672633142, 40.47210740886347, 40.12701094947553, 85.17246268653545, 85.18192733727903, 2453.7774375632057, 1478.228923763867, 178.6582698299786, 36.13678494710629
