# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2024 FEB 06 09:43:22, 760484671.1849074, 5924.34767398648, -816.5294670641226, 451.64420293443595, 3246.2660619522135, 151.05184971764788, 74.16587026940321, 73.96307602214151, 70.29043999675159, 70.29971236284302, 5149.786754327335, 962.1648262033714, -161.51730826803572, 57.82629141416596
2024 FEB 06 09:43:23, 760484672.1865768, 5921.176571835642, -817.1859984790375, 450.39633642850976, 3246.2741355398343, 151.13841356805418, 74.16638363958168, 73.96357696772532, 70.23352155203176, 70.2426936421449, 5148.863668443264, 960.7290120597189, -161.50183192687703, 57.82428458850901
2024 FEB 06 09:43:24, 760484673.1882464, 5918.005886351647, -817.8555207149273, 449.13785813839473, 3246.2798203965185, 151.2259376521971, 74.16677778904665, 73.96393001606364, 70.1762436984064, 70.18616506346712, 5147.92605210494, 959.3094581206649, -161.4863660870263, 57.822268665427856
2024 FEB 06 09:43:25, 760484674.1899158, 5914.835624730935, -818.5164087203575, 447.8886737963395, 3246.2857709054406, 151.31271011338225, 74.16718808831783, 73.96429956510154, 70.11921189336887, 70.1290369154656, 5147.00163690898, 957.8784324129449, -161.47091075107352, 57.82024366525399
2024 FEB 06 09:43:26, 760484675.1915852, 5911.665797855298, -819.1777957119028, 446.63729384247137, 3246.291287487299, 151.3996193177209, 74.16754419882577, 73.9646418007113, 70.06212602249994, 70.0718487449891, 5146.076681461843, 956.4496852144456, -161.45546585938874, 57.818209581374155
2024 FEB 06 09:43:27, 760484676.1932547, 5908.496411782268, -819.8419911534149, 445.3856913451867, 3246.295523408923, 151.4866262780809, 74.16784905839596, 73.9649049182282, 70.00498038030442, 70.01461062229988, 5145.150932059344, 955.0234722887448, -161.44003143506228, 57.81616644330037
2024 FEB 06 09:43:28, 760484677.1949241, 5905.327473720201, -820.50778601298, 444.1329272748954, 3246.2989056786096, 151.57374530720847, 74.16810135547172, 73.96511504100019, 69.94777919637683, 69.95731484559305, 5144.224588067787, 953.599599741597, -161.42460747692945, 57.814114268984
2024 FEB 06 09:43:29, 760484678.1965935, 5902.158994596892, -821.1740968643754, 442.87795154578373, 3246.3018444180243, 151.6610009431485, 74.16829889266761, 73.96529724628272, 69.89052323801435, 69.89995986747732, 5143.297689143647, 952.1780307096359, -161.40919400795065, 57.81205308734857
2024 FEB 06 09:43:30, 760484679.198263, 5898.990980510205, -821.8431785956616, 441.62278156091, 3246.303501404065, 151.7483493667967, 74.16844507880661, 73.96540025924473, 69.83320826100798, 69.84255326424967, 5142.370053139198, 950.7589547431298, -161.39379096731264, 57.8099828920308
2024 FEB 06 09:43:31, 760484680.1999325, 5895.823438704435, -822.5125099218636, 440.36566251555877, 3246.3047412891347, 151.8358114375918, 74.16853803740624, 73.9654769907161, 69.77584612176787, 69.78507337751059, 5141.4422234381545, 949.3418323445613, -161.3783983825591, 57.80790371294223
2024 FEB 06 09:43:32, 760484681.201602, 5892.656379765448, -823.1850856460088, 439.10786763494804, 3246.304640988339, 151.92340451776474, 74.16857614470622, 73.96547090253402, 69.718410843361, 69.72756732803212, 5140.51302655683, 947.9278382728688, -161.3630162223283, 57.80581555753867
2024 FEB 06 09:43:33, 760484682.2032714, 5889.489809347824, -823.8690866160628, 437.83885255917784, 3246.3025513945195, 152.01193506007863, 74.16849197333286, 73.96534130626428, 69.66062830088724, 69.67053700839564, 5139.570024748027, 946.5294195330397, -161.3476445624959, 57.803718474441965
2024 FEB 06 09:43:34, 760484683.2049408, 5886.323738460868, -824.5433465503057, 436.57810791892666, 3246.3011750847922, 152.09973521928478, 74.16842399042137, 73.96525560931408, 69.60309437955657, 69.61289252483466, 5138.640290183764, 945.1195081284833, -161.33228332000346, 57.801612447406434
