# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 MAR 20 23:40:54, 795786123.1856099, 1335.440369585158, -104.52810754393187, 1458.2784212535985, 3047.3452403155893, 94.09989878072972, 64.6557740363001, 64.36975378273358, 61.233592960029796, 61.22460576864475, 747.0997914250702, 776.4760692102046, 93.93207720355042, 64.5781206153708
2025 MAR 20 23:40:55, 795786124.1872793, 1331.3635946174863, -105.67151334913564, 1456.0552767817337, 3048.3566769351123, 94.15089703688605, 64.69552089125378, 64.40980356459225, 61.134855461760445, 61.12604545975504, 745.5220111264565, 774.8422259681432, 93.98428078202996, 64.6177934893622
2025 MAR 20 23:40:56, 795786125.1889489, 1327.2886185893053, -106.814835158883, 1453.830343030098, 3049.3665985677103, 94.20204650462276, 64.7352376266709, 64.44985183286646, 61.03578289273696, 61.02711409988408, 743.948747392992, 773.2095224101569, 94.03663781322004, 64.65743719380605
2025 MAR 20 23:40:57, 795786126.1906183, 1323.2154717149112, -107.95723550204069, 1451.6045232676838, 3050.374607433759, 94.2533124459352, 64.7749636930207, 64.48988341703942, 60.93634561353684, 60.927838848872945, 742.3795487558347, 771.5784551960253, 94.08914889123801, 64.69705164303551
2025 MAR 20 23:40:58, 795786127.1922877, 1319.1441831562613, -109.0991717948755, 1449.3774214138193, 3051.380874299515, 94.30471454496686, 64.81467816011339, 64.52990474293911, 60.836554078017244, 60.828208088118586, 740.8146125607882, 769.9488717000722, 94.14181463409179, 64.73663676342709
2025 MAR 20 23:40:59, 795786128.1939572, 1315.0747823890729, -110.23419966306014, 1447.136344016496, 3052.3915759891406, 94.3560378458707, 64.85462526056786, 64.57016199473742, 60.73725682839813, 60.72739351954698, 739.2674991466722, 768.307257766855, 94.1946356582882, 64.77619248219692
2025 MAR 20 23:41:00, 795786129.1956266, 1311.0073004309008, -111.37537906274092, 1444.9069336303194, 3053.394222704561, 94.40772036033026, 64.8943113648385, 64.61015765067404, 60.636740579076296, 60.62706259870808, 737.7108548135769, 766.681010659553, 94.24761256697894, 64.81571871153426
2025 MAR 20 23:41:01, 795786130.197296, 1306.9417674906838, -112.51611212961686, 1442.6762482098297, 3054.3951221888424, 94.45954169486438, 64.93398551456762, 64.6501427409527, 60.53586824852248, 60.52637324206755, 736.1585322362102, 765.0563244590319, 94.30074598507602, 64.85521537693218
2025 MAR 20 23:41:02, 795786131.1989655, 1302.878213891784, -113.65641352102574, 1440.4443062546284, 3055.3942647353006, 94.51150304229166, 64.9736472760085, 64.69011684775539, 60.434638368002034, 60.425325407731584, 734.6105335499425, 763.4332427121926, 94.35403653771725, 64.89468240365136
2025 MAR 20 23:41:03, 795786132.200635, 1298.816671944008, -114.79627892891405, 1438.2110925780312, 3056.39165704626, 94.56360495522188, 65.01329686675113, 64.73008020869288, 60.33305166008814, 60.32391707030057, 733.066899484136, 761.811772652675, 94.40748479472781, 64.93411969299584
2025 MAR 20 23:41:04, 795786133.2023045, 1294.757172097493, -115.93572415974418, 1435.9766247124267, 3057.3872898323225, 94.61584868431156, 65.05293385928492, 64.77003242055437, 60.23110656579199, 60.22214825166476, 731.5276308871162, 760.1919580888427, 94.46109142992506, 64.97352718624941
2025 MAR 20 23:41:05, 795786134.2039739, 1290.6997472345995, -117.07476012477997, 1433.7409124757585, 3058.381157598001, 94.66823531546449, 65.09255798369668, 64.8099732302489, 60.1288021649459, 60.12001846698702, 729.9927413678627, 758.5738328964834, 94.51485711048858, 65.01290479706827
2025 MAR 20 23:41:06, 795786135.2056433, 1286.6444292674648, -118.21338078854635, 1431.5039377236774, 3059.373268439862, 94.72076535743493, 65.13216950690419, 64.84990293057753, 60.02613947677874, 60.01752551282852, 728.4622741181571, 756.9574020368048, 94.56878238673198, 65.052252432722
2025 MAR 20 23:41:07, 795786136.2073128, 1282.591250121733, -119.35161370603524, 1429.265739669786, 3060.3636026278978, 94.77344047113533, 65.17176757774305, 64.88982069358102, 59.92311551060815, 59.91467093091344, 726.9362077501745, 755.3427322785388, 94.6228679813944, 65.09157003457936
2025 MAR 20 23:41:08, 795786137.2089822, 1278.5402437674975, -120.48945619166423, 1427.0263085160705, 3061.3521642802475, 94.82626128052893, 65.21135229854025, 64.92972664970497, 59.81973091737873, 59.811452954509214, 725.4145792220755, 753.7298368734738, 94.67711443369605, 65.13085749222861
2025 MAR 20 23:41:09, 795786138.2106516, 1274.4914430200533, -121.62070520680645, 1424.7728773444019, 3062.345066530501, 94.8790243542401, 65.25116895768974, 64.9698680944514, 59.71686239337847, 59.707016525489855, 723.9107567151157, 752.1053949592043, 94.73152247330337, 65.17011474604617
2025 MAR 20 23:41:10, 795786139.2123212, 1270.444881110555, -122.75795371244129, 1422.5312669788495, 3063.329933496274, 94.93214533635475, 65.2907211343897, 65.00974463947685, 59.61273824232252, 59.603085739463424, 722.397742880033, 750.4964506735392, 94.78609266451457, 65.20934169800144
2025 MAR 20 23:41:11, 795786140.2139906, 1266.4005929699308, -123.89483767829242, 1420.2884426871587, 3064.3130168876573, 94.98541510329514, 65.33025929817335, 65.0496088054175, 59.50825154357876, 59.49878992214549, 720.8892167572467, 748.8893748890399, 94.84082568157511, 65.24853826434001
2025 MAR 20 23:41:12, 795786141.21566, 1262.358612636005, -125.03094404849479, 1418.0447423369585, 3065.294178371358, 95.0388166167895, 65.36980540841539, 65.08945522881729, 59.40339247593211, 59.39413749048992, 719.3850562008598, 747.2843373077612, 94.89572221904743, 65.28770437558202
2025 MAR 20 23:41:13, 795786142.2173295, 1258.3189742702702, -126.16710041302957, 1415.7994522743934, 3066.273710743038, 95.09238626489449, 65.4093160399564, 65.1292951689382, 59.29818266463251, 59.28910633788044, 717.8856133463115, 745.681036516861, 94.95078284856717, 65.32683993125016
2025 MAR 20 23:41:14, 795786143.2189989, 1254.2817142550132, -127.30294307278756, 1413.5530227122395, 3067.251421929502, 95.14610863824463, 65.44881092071593, 65.16912108290003, 59.192604868330356, 59.18371220000742, 716.3906528714733, 744.0797575698932, 95.00600820365432, 65.36594484027707
2025 MAR 20 23:41:15, 795786144.2206683, 1250.2468674690601, -128.438109179182, 1411.305869240748, 3068.2271376362755, 95.19996833237971, 65.48831047837656, 65.20892610180144, 59.08664339212304, 59.07796946644581, 714.8999680494593, 742.4807554070395, 95.06139904437416, 65.40501903366594
2025 MAR 20 23:41:16, 795786145.2223378, 1246.2144695261554, -129.57321320217002, 1409.0568771790174, 3069.2013390390844, 95.25399487239696, 65.52777905814548, 65.24872923498351, 58.9803490537562, 58.97182775273501, 713.4143344552775, 740.8833049080226, 95.11695598506067, 65.44406242342947
2025 MAR 20 23:41:17, 795786146.2240072, 1242.1845577619395, -130.7080928000103, 1406.806896508258, 3070.173645580213, 95.30817938546238, 65.56722864364406, 65.28851520190572, 58.873676051353, 58.865330803414786, 711.933100227902, 739.2881087809418, 95.1726796748098, 65.48307491299124
2025 MAR 20 23:41:18, 795786147.2256767, 1238.1571684374844, -131.8361589149613, 1404.5429776332003, 3071.150189513152, 95.36230531986791, 65.60693622114225, 65.32853573362164, 58.767548862339105, 58.757577540032685, 710.4697696287227, 737.6817145156468, 95.22857078303724, 65.52205641901793
2025 MAR 20 23:41:19, 795786148.2273462, 1234.132338430623, -132.97058187372343, 1402.2909039454314, 3072.1187496816033, 95.41680831436076, 65.64634976147363, 65.3682893486334, 58.660129085665766, 58.65035738175964, 708.9974989151491, 736.0910134535891, 95.28462998269897, 65.56100685878006
2025 MAR 20 23:41:20, 795786149.2290156, 1230.1101062057419, -134.10431365656254, 1400.0379811995497, 3073.0853717783893, 95.47145204452679, 65.68576984700479, 65.40802412987424, 58.55233380218707, 58.54277673349959, 707.5297494956684, 734.5025974520644, 95.34085793194899, 65.59992613195938
2025 MAR 20 23:41:21, 795786150.2306851, 1226.0905088802986, -135.23816517276384, 1397.7835871342404, 3074.0503009106405, 95.52627253520217, 65.72515125912749, 65.44774953136663, 58.44418107820817, 58.434817183341, 706.0668060653004, 732.9162328159297, 95.39725531272362, 65.638814160205
2025 MAR 20 23:41:22, 795786151.2323545, 1222.0735860209415, -136.37134598355567, 1395.528347222076, 3075.013289460963, 95.58123603222971, 65.76453893465592, 65.48745588319436, 58.335652621908544, 58.32649597542781, 704.6084274894487, 731.3322129711499, 95.45382278737983, 65.67767084391524
2025 MAR 20 23:41:23, 795786152.2340239, 1218.0593760143563, -137.50434502490896, 1393.2721293275351, 3075.974375694405, 95.63636363899666, 65.80390670831106, 65.52714440812322, 58.22674496731865, 58.21781609187089, 703.1545878883411, 729.7506156699304, 95.5105610400004, 65.71649609726437
2025 MAR 20 23:41:24, 795786153.2356935, 1214.0479178059888, -138.6373388817939, 1391.014159101509, 3076.933897560335, 95.69166647187315, 65.8432408598342, 65.56682874918151, 58.11750105108466, 58.10873498495095, 701.7059229086333, 728.1708582258021, 95.56747071539293, 65.75528982365778
2025 MAR 20 23:41:25, 795786154.2373629, 1210.0392521778076, -139.76976262162376, 1388.7554983417792, 3077.8914046056993, 95.74711800071813, 65.88257788294119, 65.60649079564405, 58.0078706099922, 57.99930140227754, 700.2617354361165, 726.5936895995545, 95.62455251867802, 65.79405193554726
2025 MAR 20 23:41:26, 795786155.2390323, 1206.0334189547782, -140.901963056648, 1386.4957282852806, 3078.847068512659, 95.8027348193264, 65.9218971413118, 65.64613730596882, 57.897871004663536, 57.88949788973953, 698.8222973797498, 725.0188905060277, 95.6818072012121, 65.83278234805904
2025 MAR 20 23:41:27, 795786156.2407018, 1202.03045846372, -142.0339595541367, 1384.234885425332, 3079.800871734921, 95.85851835818863, 65.96119780879222, 65.68576749614758, 57.78750011475525, 57.77932630961935, 697.3875996184182, 723.4465243912465, 95.73923536226384, 65.87148095742266
2025 MAR 20 23:41:28, 795786157.2423712, 1198.0304128677435, -143.16004554649487, 1381.9600710330124, 3080.758794163233, 95.91429014185377, 66.00072676207445, 65.72563034716771, 57.677690515791355, 57.667877861764325, 695.9706150793287, 721.8636724140006, 95.7968377705066, 65.91014767976264
2025 MAR 20 23:41:29, 795786158.2440406, 1194.0333234901584, -144.29205559596713, 1379.697927500536, 3081.7084723850617, 95.9704234544551, 66.03997358880304, 65.76521127096957, 57.566519408892155, 57.55702566190746, 694.5446012439219, 720.2971290212623, 95.8546150377237, 65.9487824066192
2025 MAR 20 23:41:30, 795786159.2457101, 1190.0392320017452, -145.42347223967906, 1377.4337875010167, 3082.6567159626643, 96.02671384327896, 66.07921907402773, 65.80479344577381, 57.45504481976659, 57.445738593306324, 693.1243319443398, 718.7321741987033, 95.91256795458382, 65.98738506793607
2025 MAR 20 23:41:31, 795786160.2473795, 1186.0481820817927, -146.55454164466403, 1375.16819436838, 3083.6032714948083, 96.08316993220745, 66.1184526586274, 65.84436629231895, 57.343228373469955, 57.334054169426174, 691.7092897469728, 717.169382296418, 95.97069712223366, 66.025955539575
2025 MAR 20 23:41:32, 795786161.249049, 1182.0602164068218, -147.68560335900457, 1372.9019081385802, 3084.5477873683444, 96.13980319657243, 66.15765962897954, 65.88391505009481, 57.231015288161466, 57.22202581286114, 690.298741273519, 715.6095400982799, 96.02900329306095, 66.06449373991194
2025 MAR 20 23:41:33, 795786162.2507185, 1178.0753783583925, -148.8165537996802, 1370.6346773249584, 3085.4903792967416, 96.19661128136852, 66.19684462137155, 65.92344448040602, 57.118424141318265, 57.10963543361836, 688.8929640322482, 714.0524237884024, 96.087487224273, 66.10299958679047
2025 MAR 20 23:41:34, 795786163.2523879, 1174.0937129759245, -149.9473442302506, 1368.3663831493893, 3086.4311014884524, 96.25359352696394, 66.23600973964035, 65.96295678874998, 57.00546444064196, 56.996873959659645, 687.4921074210854, 712.4979420325839, 96.14614952401223, 66.14147295533374
2025 MAR 20 23:41:35, 795786164.2540574, 1170.1152641648048, -151.07799340921633, 1366.0970509732201, 3087.3699415127976, 96.31075142563272, 66.27515430331769, 66.00245138875758, 56.8921348084836, 56.883742992124915, 686.0961715499296, 710.9461486158646, 96.20499096100136, 66.17991376684202
2025 MAR 20 23:41:36, 795786165.2557268, 1166.1400782060082, -152.20813759061375, 1363.8269102074214, 3088.3068165741606, 96.36806965714285, 66.31430230892151, 66.04192498591523, 56.77843011480168, 56.77024784012446, 684.7051065276333, 709.3971500151214, 96.26401223615561, 66.21832191338002
2025 MAR 20 23:41:37, 795786166.2573962, 1162.1682003321755, -153.3329293591646, 1361.5422153487639, 3089.2479520900965, 96.4254118575597, 66.35365914552972, 66.08163988450528, 56.665346448291274, 56.655417895061625, 683.3321610468488, 707.8377554050701, 96.32321407419964, 66.25669730088676
2025 MAR 20 23:41:38, 795786167.2590657, 1158.1996765807016, -154.46298308836705, 1359.2702800642908, 3090.180920492729, 96.48309247197086, 66.39275969089366, 66.12107209277937, 56.550886790022126, 56.541200124945505, 681.9507656628682, 706.2945869842407, 96.38259714946034, 66.29503982894617
2025 MAR 20 23:41:39, 795786168.2607352, 1154.234554761648, -155.59325758679688, 1356.9970176598124, 3091.1121135626877, 96.54096850949308, 66.43181595576534, 66.1604905641548, 56.43607073260343, 56.42660137461368, 680.5745440763551, 704.75407975252, 96.44216227519104, 66.3333494008498
2025 MAR 20 23:41:40, 795786169.2624046, 1150.2728818886458, -156.7230774449633, 1354.7229666361977, 3092.0413304386984, 96.59901014421663, 66.47087447771352, 66.19988724443816, 56.3208804480403, 56.31163953613577, 679.2032792595014, 703.2165078256363, 96.50191013616457, 66.37162591352859
2025 MAR 20 23:41:41, 795786170.2640741, 1146.3147055561365, -157.85281990083553, 1352.4479248277491, 3092.96864001096, 96.65723489356164, 66.50991035914542, 66.23926471555117, 56.20532113970808, 56.19631031563552, 677.8370552909475, 701.6818442343108, 96.56184146400385, 66.40986927118306
2025 MAR 20 23:41:42, 795786171.2657435, 1142.3600755325801, -158.98248129836313, 1350.1718702580392, 3093.894051581822, 96.71564358032822, 66.54892381119448, 66.27862329979844, 56.08939541188836, 56.080611955864235, 676.4759234199527, 700.1500961648773, 96.62195697946068, 66.44807936222725
2025 MAR 20 23:41:43, 795786172.2674129, 1138.4090405169025, -160.11206115855546, 1347.8947861886477, 3094.817571962432, 96.77423714268288, 66.58791493391529, 66.31796321522147, 55.97310551332387, 55.96454311511918, 675.1199283909779, 698.6212765838054, 96.68225742367524, 66.48625608907307
2025 MAR 20 23:41:44, 795786173.2690824, 1134.4616496972922, -161.24154755168416, 1345.6166264698388, 3095.739221126838, 96.83301619413005, 66.62688437285425, 66.35728524318469, 55.856455960162194, 55.848100315510486, 673.769143320113, 697.0953702957574, 96.74274354433138, 66.52439935272976
2025 MAR 20 23:41:45, 795786174.2707518, 1130.5179546171912, -162.37097090341695, 1343.337454346722, 3096.6589698102807, 96.89198258421905, 66.66583067439247, 66.39658806414113, 55.73944323742558, 55.731288168883076, 672.4235381137646, 695.5724677507818, 96.80341601813583, 66.5625090318651
2025 MAR 20 23:41:46, 795786175.2724212, 1126.5780060400057, -163.49501926174523, 1341.0439104840207, 3097.5828104894968, 96.95098214669113, 66.70500812067336, 66.4361282848594, 55.62308159782963, 55.613118237271195, 671.0959963051017, 694.0397438925844, 96.86427569190238, 66.60058504423107
