# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 JUL 17 10:38:31, 806020780.1836574, 701.9802182871798, 442.42327372631667, -3048.3004822552284, -1422.0460424324547, -81.74188662550078, -24.549693408583508, -24.781431281116745, 41.982941932572004, 41.99201941939598, 551.5915165419295, 496.37937692677116, -81.55153972278494, -25.027087263447054
2025 JUL 17 10:38:32, 806020781.1853268, 700.9924092012047, 443.0195132373244, -3049.5832690032, -1419.1415489597289, -81.73434149743784, -24.49592158924707, -24.727301343266667, 41.95496406876351, 41.96388704589527, 550.8811340323025, 496.21428680837147, -81.54597332958704, -24.97057710360771
2025 JUL 17 10:38:33, 806020782.1869963, 700.0041339621824, 443.61482819316944, -3050.863754301624, -1416.2348882583103, -81.72681385185189, -24.442134724464832, -24.67315529305511, 41.9268506643348, 41.93562113725225, 550.1723549121584, 496.0485725375648, -81.5404150400003, -24.91406212019302
2025 JUL 17 10:38:34, 806020783.1886657, 699.0153937716809, 444.2092174559588, -3052.1419339558092, -1413.3260635990875, -81.71930365804447, -24.38833284722318, -24.618993164207616, 41.898601486525166, 41.907221231469535, 549.4651823908539, 495.8822402883402, -81.53486483087462, -24.8575423473837
2025 JUL 17 10:38:35, 806020784.1903352, 698.0261896288731, 444.80267966383485, -3053.417804367121, -1410.4150770684619, -81.71181089111839, -24.334515968005977, -24.56481496823939, 41.870216555071124, 41.878687293253094, 548.7596197733122, 495.7152895447483, -81.52932267699929, -24.801017805495242
2025 JUL 17 10:38:36, 806020785.1920047, 697.0365221533522, 445.3952131176781, -3054.6913622493607, -1407.501930197616, -81.70433553329312, -24.28068408723229, -24.510620706209526, 41.84169529300377, 41.8500192020635, 548.0556707100975, 495.5477214090947, -81.5237885534121, -24.74448851234194
2025 JUL 17 10:38:37, 806020786.1936741, 696.0463926264299, 445.98681674464916, -3055.9626032066635, -1404.5866267114204, -81.69687755239397, -24.226837245422132, -24.456410419847483, 41.81303765044589, 41.821216556025846, 547.3533400552298, 495.3795359941218, -81.51826243709547, -24.687954507417256
2025 JUL 17 10:38:38, 806020787.1953435, 695.0558020747357, 446.5774886166693, -3057.2315241519523, -1401.6691678083, -81.68943693553881, -24.17297543656729, -24.402184103754855, 41.78424377031511, 41.79227917847153, 546.6526281145203, 495.2107384125984, -81.51274430379027, -24.631415806789583
2025 JUL 17 10:38:39, 806020788.197013, 694.0647510467064, 447.16722793702417, -3058.4981211202817, -1398.7495562273325, -81.6820136468098, -24.119098682826277, -24.347941781046764, 41.75531292027829, 41.76320713875565, 545.9535394661842, 495.04132876622606, -81.50723412767807, -24.57487242995464
2025 JUL 17 10:38:40, 806020789.1986824, 693.0732409278924, 447.7560328362384, -3059.7623902581545, -1395.8277948214372, -81.67460767035729, -24.065207008144746, -24.293683476803295, 41.72624518763438, 41.73399987050928, 545.2560778014075, 494.8713062994689, -81.50173188718914, -24.5183244164141
2025 JUL 17 10:38:41, 806020790.200352, 692.0812724216669, 448.3439021580671, -3061.0243281478356, -1392.903885287819, -81.66721897849848, -24.011300415436633, -24.239409194502798, 41.69704060229152, 41.704657339780425, 544.5602482976767, 494.70067695917845, -81.49623755853317, -24.46177177325955
2025 JUL 17 10:38:42, 806020791.2020214, 691.0888468773838, 448.93083409033807, -3062.283930935584, -1389.977830487422, -81.65984755448676, -23.957378928412023, -24.185118959097785, 41.6676988050694, 41.67517930307099, 543.866051028639, 494.5294399573732, -81.49075111617042, -24.405214543009926
2025 JUL 17 10:38:43, 806020792.2036908, 690.0959649400705, 449.5250114592724, -3063.542678715294, -1387.0437728193392, -81.65234752151024, -23.90360870936493, -24.130809088477253, 41.638232937289715, 41.64555119702599, 543.1735809749302, 494.3575099281974, -81.48527253766947, -24.348652741687808
2025 JUL 17 10:38:44, 806020793.2053603, 689.102627580643, 450.11002461982736, -3064.7975305879745, -1384.1135826930156, -81.64501117171598, -23.849656719025116, -24.076488619060097, 41.60860514172828, 41.6158136190902, 542.4825853372162, 494.1851369499452, -81.47980179762878, -24.292086391715365
2025 JUL 17 10:38:45, 806020794.2070297, 688.1088360159504, 450.6940326505521, -3066.050082741694, -1381.1811738705612, -81.63769330484332, -23.79568841994326, -24.022150754595014, 41.57885042204369, 41.58592807510396, 541.7933107801584, 494.0120885135029, -81.47433887621985, -24.235515525580276
