# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 AUG 15 19:39:12, 808558821.1829247, 1867.5750460653635, -1055.8488682181367, -483.99895779331933, -3172.615509563613, -155.37337569443304, -69.70989109943253, -69.89249778250422, 34.81017862505957, 34.81851879336, 1976.5549456049423, 454.65582391844316, -139.93111779603808, -72.77720232310833
2025 AUG 15 19:39:13, 808558822.1838027, 1864.0128854849156, -1053.4929817989769, -484.49382454394083, -3173.3147597676825, -155.30263996438896, -69.7450310177698, -69.92737854898098, 34.740589529157326, 34.74887757729578, 1973.9796970415225, 454.327915399419, -139.88968104614074, -72.80682275445173
2025 AUG 15 19:39:14, 808558823.1846807, 1860.4555792500037, -1051.1364773143455, -484.988369024022, -3174.012302506652, -155.23166959783237, -69.78014422024158, -69.96223242383134, 34.670985031759336, 34.679221674623534, 1971.4078227326922, 454.00095331395136, -139.8480755947625, -72.83644030265053
2025 AUG 15 19:39:15, 808558824.1855587, 1856.903154633819, -1048.7700705149878, -485.4878852122698, -3174.7103687072745, -155.16003197108301, -69.81534370275389, -69.99717107976215, 34.60092125133873, 34.61087068891188, 1968.8331338459557, 453.68114451843087, -139.80630058593667, -72.8660549209106
2025 AUG 15 19:39:16, 808558825.1864367, 1853.3556403732846, -1046.4123842884667, -485.98171986679273, -3175.4044803026954, -155.08859203572004, -69.85040234017961, -70.03197017192849, 34.53129162083663, 34.541181527354894, 1966.2680982106328, 453.35603247257967, -139.76435513118108, -72.89566655867313
2025 AUG 15 19:39:17, 808558826.1873145, 1849.8130648416357, -1044.0540855527447, -486.4752213636363, -3176.0968841158156, -155.01691480558847, -69.88543382891898, -70.06674197977118, 34.46164995106237, 34.47148068261633, 1963.7064761573668, 453.0318751700707, -139.72223836655115, -72.92527517605576
2025 AUG 15 19:39:18, 808558827.1881925, 1846.275455605468, -1041.6951741508744, -486.968388424742, -3176.787580313138, -154.9449992349521, -69.92043802117318, -70.10148638513157, 34.39199727804242, 34.40176944597168, 1961.1482786154208, 452.708676498543, -139.67994934791682, -72.95488070140625
2025 AUG 15 19:39:19, 808558828.1890705, 1842.7428416935552, -1039.3356511874085, -487.4612197306285, -3177.4765686566298, -154.87284430160275, -69.9554148165259, -70.13620324862772, 34.32233469740405, 34.33204910866826, 1958.593518220118, 452.3864400967307, -139.6374871933392, -72.98448309307022
2025 AUG 15 19:39:20, 808558829.1899484, 1839.215251853422, -1036.9755140686154, -487.95371141480115, -3178.1638504882867, -154.80044901520893, -69.99036409486098, -70.17089250988494, 34.252663221557455, 34.26232121922246, 1956.0422056526459, 452.0651712820378, -139.5948510183552, -73.01408230202625
2025 AUG 15 19:39:21, 808558830.1908264, 1835.6927152810918, -1034.614770417984, -488.4458584428045, -3178.849424031498, -154.72781265126073, -70.02528569086732, -70.20555395021104, 34.18298429763472, 34.192586119410095, 1953.494357795595, 451.74486915479946, -139.55203992165843, -73.04367828904932
2025 AUG 15 19:39:22, 808558831.1917044, 1832.1752604657177, -1032.2534189468524, -488.93766030517907, -3179.5332897051826, -154.6549340872594, -70.06017943546324, -70.24018746089263, 34.11329896061961, 34.12284543094938, 1950.9499851734865, 451.42553882947686, -139.50905294462717, -73.07327097389768
2025 AUG 15 19:39:23, 808558832.1925824, 1828.6629172462717, -1029.891460344999, -489.42911377974764, -3180.215447700619, -154.58181236078508, -70.09504526192478, -70.27479292085532, 34.04360839046427, 34.05310041123339, 1948.4091006658098, 451.1071837323993, -139.46588920532741, -73.10286033133976
2025 AUG 15 19:39:24, 808558833.1934603, 1825.1557147215112, -1027.534859659696, -489.9310526421632, -3180.8923446051854, -154.50808335641528, -70.12997775209585, -70.3093071768565, 33.97394467638629, 33.98325892504547, 1945.8721359863312, 450.78938850512066, -139.42254770225347, -73.13244626500715
2025 AUG 15 19:39:25, 808558834.1943383, 1821.653682488482, -1025.1712163214543, -490.42183841245816, -3181.5712358804685, -154.43446039420033, -70.164790345555, -70.34386183580503, 33.90422950201905, 33.91356172583067, 1943.3380240880351, 450.47323537623413, -139.3790276021996, -73.16202877962357
2025 AUG 15 19:39:26, 808558835.1952162, 1818.1568507126578, -1022.8072437250621, -490.91212048613517, -3182.2483538852443, -154.3606039228329, -70.19957126043847, -70.3783847384557, 33.834525828988795, 33.8438252896895, 1940.807616053337, 450.15789002513526, -139.33532789915222, -73.19160777387546
2025 AUG 15 19:39:27, 808558836.1960942, 1814.6652484676458, -1020.4427051226362, -491.402025788243, -3182.9237549009667, -154.28650191882946, -70.2343232842203, -70.4128786121144, 33.7648235247088, 33.77408462176254, 1938.2807699410776, 449.8435100841968, -139.29144767197909, -73.22118322834335
2025 AUG 15 19:39:28, 808558837.1969721, 1811.1789065250887, -1018.0776115070948, -491.8915474340297, -3183.597436523069, -154.212153804783, -70.2690461395614, -70.4473431962642, 33.69512431254151, 33.704339735427915, 1935.7575043249992, 449.5300933721196, -139.24738593198714, -73.25075505588278
2025 AUG 15 19:39:29, 808558838.1978501, 1807.697854876195, -1015.7119280117571, -492.3807035778918, -3184.269407012444, -154.13755684448168, -70.30374014100883, -70.48177877593021, 33.62542773587361, 33.63459716081712, 1933.2378087193626, 449.2176666631971, -139.20314172646675, -73.28032321319691
2025 AUG 15 19:39:30, 808558839.1987281, 1804.222123666225, -1013.3456513092127, -492.8694905866706, -3184.9396679214547, -154.06270997695665, -70.3384051547976, -70.51618529338391, 33.55573494674337, 33.56485872324434, 1930.721693560217, 448.9062359656928, -139.15871411096018, -73.30988764714031
2025 AUG 15 19:39:31, 808558840.1996061, 1800.7517440370316, -1010.9787862286116, -493.35790502950994, -3185.6082182012547, -153.98761230819073, -70.37304105791387, -70.55056255644077, 33.486047424506744, 33.495125350369406, 1928.2091741090535, 448.595802436036, -139.11410211987504, -73.3394483134248
2025 AUG 15 19:39:32, 808558841.200484, 1797.2867465161075, -1008.6113440426366, -493.8459396996071, -3186.2750553795513, -153.91226325890557, -70.40764753631366, -70.58491029837917, 33.416366985920206, 33.425397028225866, 1925.7002691166751, 448.28636337330676, -139.06930473040248, -73.36900512633142
2025 AUG 15 19:39:33, 808558842.201362, 1793.8271620236533, -1006.2433002679036, -494.33360655981386, -3186.940185238926, -153.83666056521454, -70.44222479088569, -70.61922867710601, 33.34669374435082, 33.35567888562452, 1923.1949753190743, 447.9779386729669, -139.02432096574006, -73.39855804150176
2025 AUG 15 19:39:34, 808558843.20224, 1790.373021930598, -1003.8746697907642, -494.8208923690769, -3187.603605088133, -153.7608039942033, -70.47677249414944, -70.6535174131733, 33.277029798608005, 33.28597023831686, 1920.6933147707261, 447.6705227884272, -138.97914985444493, -73.42810700255026
2025 AUG 15 19:39:35, 808558844.2031178, 1786.9243574542497, -1001.5054617679033, -495.3077915444209, -3188.265312889625, -153.68469283371687, -70.511290405917, -70.68777625912391, 33.20737690832578, 33.21627149839555, 1918.195305715582, 447.36411442030595, -138.9337904090951, -73.4576519602314
2025 AUG 15 19:39:36, 808558845.2039958, 1783.4811997163802, -999.1356653869185, -495.79430815544526, -3188.9253113346563, -153.6083254707796, -70.54577852433572, -70.72200521142999, 33.1377359146365, 33.14658579987523, 1915.7009527696205, 447.05872459106365, -138.88824157299982, -73.48719283382431
2025 AUG 15 19:39:37, 808558846.2048738, 1780.043580549574, -996.765278801293, -496.28044027197996, -3189.583601228402, -153.53170076384146, -70.58023675669082, -70.75620416847387, 33.06810812264874, 33.07691505695002, 1913.2102678355996, 446.7543586305091, -138.8425023727915, -73.51672958827686
2025 AUG 15 19:39:38, 808558847.2057518, 1776.6115317778497, -994.3943181909599, -496.76617976328464, -3190.2401787692147, -153.45481826667105, -70.61466475727607, -70.79037278795273, 32.99849567189854, 33.00725877435893, 1910.7232726052011, 446.4510111725507, -138.79657174164996, -73.54626213357774
2025 AUG 15 19:39:39, 808558848.2066298, 1773.1850853893366, -992.0227689863196, -497.25152831557057, -3190.8950481434917, -153.3776763710959, -70.64906255241674, -70.82451114226872, 32.92889934908468, 32.93762052159938, 1908.2399709589552, 446.14869512441476, -138.7504486854277, -73.57579042527023
