# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 SEP 22 22:56:40, 811853869.1823808, 3454.6838703982, 3256.1645997323394, -337.3612705340957, -898.9374314595505, -5.915135849723898, -15.203676680384817, -15.355126308502918, 90.84663607458566, 90.83682891889919, 1724.5889236179046, 1730.5218014026523, -5.901012194993696, -15.30498859781048
2025 SEP 22 22:56:41, 811853870.1840502, 3448.402609698981, 3256.373618455003, -337.1342558936664, -898.2731008966559, -5.910806936246198, -15.191967498221949, -15.34348925963832, 90.78925272571718, 90.77968881773289, 1721.7669761918412, 1727.013422767009, -5.897819383018643, -15.299205344992433
2025 SEP 22 22:56:42, 811853871.1857197, 3442.1201248289763, 3256.5870784791273, -336.90460165694435, -897.5932285772442, -5.9064245637115445, -15.179990803245706, -15.33158066594109, 90.73199989695125, 90.72217161337792, 1718.9633454384473, 1723.4890282418592, -5.894634564159283, -15.293427819524696
2025 SEP 22 22:56:43, 811853872.1873891, 3435.8364310745005, 3256.7950409543732, -336.6778905493197, -896.9313685457478, -5.902103818835843, -15.168328844675681, -15.3199882390152, 90.67428870573187, 90.66486548511354, 1716.1426079428657, 1719.9840599734334, -5.891457709745447, -15.287656008224587
2025 SEP 22 22:56:44, 811853873.1890585, 3429.5515413638855, 3257.007095877717, -336.44871169251707, -896.2551335480916, -5.897733246845311, -15.156419656587346, -15.308144726606425, 90.61668743124451, 90.60720078025746, 1713.3389783086573, 1716.4643186408734, -5.888288823114232, -15.281889888918958
2025 SEP 22 22:56:45, 811853874.1907281, 3423.265468681597, 3257.2181569817526, -336.21992985603356, -895.581705147315, -5.893371870669152, -15.1445613677607, -15.296351054549069, 90.55889364216095, 90.54947871989555, 1710.5343227385338, 1712.9479556883996, -5.885127849398817, -15.276129460559725
2025 SEP 22 22:56:46, 811853875.1923975, 3416.97822830525, 3257.432696509929, -335.9889830734145, -894.8959534686552, -5.888967067908751, -15.132491510955155, -15.284342275712422, 90.50117411828657, 90.49143130740569, 1707.7446350000682, 1709.41899566893, -5.881974766516684, -15.270374704577186
2025 SEP 22 22:56:47, 811853876.1940669, 3410.6898333301974, 3257.645376629963, -335.7589148108383, -894.2159344687681, -5.884581399796737, -15.120523333744144, -15.272434585095851, 90.44320972000665, 90.4333768777681, 1704.9508531815027, 1705.8965167520223, -5.878829572117861, -15.264625604845232
2025 SEP 22 22:56:48, 811853877.1957364, 3404.400296900937, 3257.855295450271, -335.5302549525463, -893.544716278042, -5.880225693713371, -15.10871003612299, -15.260681683871749, 90.38494469602614, 90.37536984982825, 1702.1497457345254, 1702.383767460332, -5.875692220107803, -15.258882146985883
2025 SEP 22 22:56:49, 811853878.1974058, 3398.109634555199, 3258.070704526644, -335.2982237108845, -892.8543392085891, -5.875801981302107, -15.096566667021497, -15.248594030877848, 90.32687529781991, 90.31691258258324, 1699.3708652019984, 1698.851214460981, -5.872562697601249, -15.253144325357145
2025 SEP 22 22:56:50, 811853879.1990753, 3391.8178588493633, 3258.27853741774, -335.07040309712704, -892.1890980140832, -5.871465608050344, -15.084861479831389, -15.23694714406536, 90.26821291745041, 90.2587929119917, 1696.5674209957394, 1695.345663493546, -5.86944099225607, -15.247412110494057
2025 SEP 22 22:56:51, 811853880.2007447, 3385.5249853764676, 3258.4940763923946, -334.83788208842856, -891.4971643821226, -5.867034156114368, -15.072695617907403, -15.224833650329455, 90.20988074211422, 90.20008602155208, 1693.794188840918, 1691.812358762783, -5.866327061128552, -15.24168549720664
2025 SEP 22 22:56:52, 811853881.2024142, 3379.231027579709, 3258.657981396315, -334.6355598792942, -890.9800208650646, -5.863220900715323, -15.063562935354469, -15.215780554021373, 90.14827126777743, 90.14439917734623, 1690.8382612139412, 1688.4642245642792, -5.863220900715323, -15.23596447034589
2025 SEP 22 22:56:53, 811853882.2040837, 3372.9359990154576, 3258.7627933245276, -334.4682387503933, -890.6632097058113, -5.860122466429819, -15.057905844444635, -15.210234551300147, 90.0829043708966, 90.09220929710307, 1687.6726114130058, 1685.3283053505943, -5.860122466429819, -15.230249022743706
2025 SEP 22 22:56:54, 811853883.2057531, 3366.639915498995, 3258.973757733183, -334.23818053795105, -889.9854590960884, -5.855743253002685, -15.045992074438528, -15.198370894946693, 90.02385798594604, 90.03343920804001, 1684.890448566295, 1681.811410602168, -5.857031747632312, -15.224539127737584
2025 SEP 22 22:56:55, 811853884.2074225, 3360.3427906643933, 3259.191566067825, -333.92704926803077, -889.312384591201, -5.849941901227513, -15.027196805407012, -15.186820996969907, 89.96484728201372, 89.97437175652819, 1682.1212845343082, 1678.2840283287999, -5.853948729953739, -15.218834778447333
2025 SEP 22 22:56:56, 811853885.209092, 3354.0446381058846, 3259.401517633393, -333.7006047808238, -888.6356949484991, -5.8456284326003995, -15.015640139817597, -15.174980847449104, 89.90547373604859, 89.9154045373117, 1679.3414544895345, 1674.7698777806215, -5.850873369153801, -15.213135967264131
2025 SEP 22 22:56:57, 811853886.2107614, 3347.7454741976485, 3259.6193213097135, -333.46615786198964, -887.932867069145, -5.841162273902018, -15.003355579362688, -15.162677867687556, 89.84643477539935, 89.85583881465757, 1676.5919652662024, 1671.2279519176686, -5.847805656253953, -15.207442668054721
2025 SEP 22 22:56:58, 811853887.2124308, 3341.445312666764, 3259.831126442892, -333.238129567606, -887.2487666792881, -5.836818955948289, -14.991672720486502, -15.150709487661734, 89.78689692998181, 89.79650654160706, 1673.8241306146438, 1667.7069565775985, -5.844745565042781, -15.201754879891977
2025 SEP 22 22:56:59, 811853888.2141004, 3335.1441672621336, 3260.042894153319, -333.006805052039, -886.565390025158, -5.832418868169454, -14.979727005002063, -15.138748314366945, 89.72720686109048, 89.73706018804339, 1671.0582730511237, 1664.1865848852567, -5.841693085537382, -15.196072574996744
2025 SEP 22 22:57:00, 811853889.2157698, 3328.842054641679, 3260.2568795268376, -332.77387993878716, -885.8739049119872, -5.827987507101204, -14.967643104231259, -15.126645964815259, 89.66751399377361, 89.67734889844002, 1668.3031039541977, 1660.658147499698, -5.838648162687692, -15.190395755273567
2025 SEP 22 22:57:01, 811853890.2174392, 3322.538988656849, 3260.4722035830596, -332.5429292151602, -885.1761618704851, -5.823588621590378, -14.955725575562926, -15.114441022774242, 89.60777387480233, 89.61741593870659, 1665.5560330881706, 1657.1242522073662, -5.835610806414778, -15.184724399254797
2025 SEP 22 22:57:02, 811853891.2191087, 3316.23498336127, 3260.6834156950194, -332.31115386517877, -884.4930440776578, -5.81918319507112, -14.943788404484831, -15.102486475764412, 89.5476264848366, 89.55762004472382, 1662.796284130881, 1653.6056920372241, -5.83258099254308, -15.179058486126328
2025 SEP 22 22:57:03, 811853892.2207781, 3309.9300556009534, 3260.900425036635, -332.07861225956657, -883.7884342508718, -5.814754678199999, -14.931754200633796, -15.090162898532926, 89.48770991590023, 89.49732180672208, 1660.0607603318183, 1650.0655865431258, -5.82955867036641, -15.173398017974302
2025 SEP 22 22:57:04, 811853893.2224475, 3303.624219329426, 3261.113135610817, -331.8453391840121, -883.0991089818115, -5.810321567953831, -14.91971124402036, -15.078101151530074, 89.42737247059095, 89.43717181720412, 1657.311895580181, 1646.5415180699342, -5.826543845238022, -15.167742972915056
2025 SEP 22 22:57:05, 811853894.224117, 3297.3174893230766, 3261.3265057264157, -331.6144807969851, -882.4058277882458, -5.805929787806838, -14.90787558152199, -15.065977261563377, 89.36694357699177, 89.37683918622827, 1654.5687258998296, 1643.0144706180467, -5.823536477168247, -15.162093338048738
2025 SEP 22 22:57:06, 811853895.2257864, 3291.0098821289776, 3261.54030311807, -331.37993356928473, -881.7116988625485, -5.801473618914327, -14.895751150588175, -15.05383288652713, 89.30638884271299, 89.3163572184718, 1651.8293109467356, 1639.4864037021005, -5.820536563383708, -15.156449100258758
2025 SEP 22 22:57:07, 811853896.227456, 3284.701411364682, 3261.7547139807193, -331.1478339525132, -881.013756310514, -5.797059436855985, -14.883837071206983, -15.04162895891065, 89.24573933636222, 89.25569344898393, 1649.095456837793, 1635.9555304824555, -5.817544070787736, -15.150810246122294
2025 SEP 22 22:57:08, 811853897.2291254, 3278.3920941034075, 3261.969292830087, -330.91216206916084, -880.3158602281268, -5.792583362843823, -14.871649123308725, -15.029420109925784, 89.18494699197684, 89.19489466219261, 1646.3644480559058, 1632.4245865533715, -5.814558969910086, -15.145176763426297
2025 SEP 22 22:57:09, 811853898.2307948, 3272.0819452718656, 3262.184904089185, -330.67867775911446, -879.6126996589857, -5.78814401830883, -14.859647034498556, -15.017126436676826, 89.12408625161926, 89.13388511262623, 1643.6405515642302, 1628.8893244905826, -5.811581257896736, -15.139548638166609
2025 SEP 22 22:57:10, 811853899.2324643, 3265.7709793055647, 3262.3997355263564, -330.44218021743995, -878.9128431713688, -5.783654181604904, -14.847426858279066, -15.0048847305129, 89.06302134802881, 89.07279914283474, 1640.916089786045, 1625.357440006158, -5.808610901197334, -15.133925856704218
2025 SEP 22 22:57:11, 811853900.2341337, 3259.459213686932, 3262.6154021424827, -330.20481644935495, -878.2095696314132, -5.779148337732346, -14.835149851389957, -14.992584002675429, 89.00186508883853, 89.01152283457309, 1638.1974987438725, 1621.8225192071232, -5.805647871185368, -15.128308407357823
2025 SEP 22 22:57:12, 811853901.2358031, 3253.1466630539053, 3262.8313184634026, -329.9701128955797, -877.5037104577899, -5.774688819679763, -14.823102798089922, -14.980245371392142, 88.94058955870668, 88.95008268316279, 1635.483218574579, 1618.2861412904017, -5.802692162953108, -15.12269627620316
2025 SEP 22 22:57:13, 811853902.2374727, 3246.8333425809096, 3263.0427437722587, -329.73478320016466, -876.8139183058163, -5.77022682644982, -14.811060903537856, -14.968181793721797, 88.87886889079115, 88.88880331974173, 1632.75491500113, 1614.7666596361921, -5.799743736740243, -15.11708945685036
2025 SEP 22 22:57:14, 811853903.2391421, 3240.519269953352, 3263.259174678336, -329.49905632380995, -876.1051923211214, -5.7657496532622154, -14.79896660860223, -14.955794562581605, 88.81733412185604, 88.82705218445105, 1630.048236747936, 1611.228447272988, -5.796802580441882, -15.111487923664729
2025 SEP 22 22:57:15, 811853904.2408115, 3234.204459911587, 3263.4757793998406, -329.25963757247445, -875.3965088770282, -5.761208534599003, -14.786599348409323, -14.943402123960704, 88.75565435703994, 88.76515899879722, 1627.3445292505387, 1607.6901774058938, -5.793868684220509, -15.105891670417714
2025 SEP 22 22:57:16, 811853905.242481, 3227.888927992041, 3263.6879477020675, -329.02597701143094, -874.7013519411144, -5.7567757897736165, -14.77474236615328, -14.931253642253916, 88.69354908807816, 88.70340279517595, 1624.6281130488978, 1604.167551264803, -5.790942004184677, -15.100300690142449
2025 SEP 22 22:57:17, 811853906.2441504, 3221.5726920849506, 3263.90485055621, -328.785597744332, -873.9905538830251, -5.7522185060173205, -14.762340178929747, -14.918825679135404, 88.63159369365037, 88.64120683608456, 1621.9313038817586, 1600.6282729050426, -5.788022532225227, -15.094714958002589
2025 SEP 22 22:57:18, 811853907.2458198, 3215.255767248911, 3264.1176883097655, -328.5507725071954, -873.2920096038717, -5.7477653783793325, -14.750426993952583, -14.90661949815488, 88.5692346963966, 88.57912335833791, 1619.2231469399567, 1597.1033185130088, -5.785110253795572, -15.0891344667202
2025 SEP 22 22:57:19, 811853908.2474893, 3208.938169247114, 3264.334583726979, -328.3096033027561, -872.5801497846276, -5.743195435809875, -14.738008092597912, -14.894174423335762, 88.50698223965301, 88.5166407592813, 1616.5321769272036, 1593.5641730181148, -5.7822051295531, -15.083559210166927
