# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 OCT 07 05:02:15, 813085404.1823438, 3542.9769252098877, 2346.602974508458, 469.7587639507542, -2395.564674599015, 11.320219166907695, -44.84408474108147, -45.02888386055464, 91.59580999773507, 91.605596839571, 1792.4115918309792, 1751.9789397074483, 11.340072357710834, -45.370746677545895
2025 OCT 07 05:02:16, 813085405.1844316, 3536.4033432793585, 2346.482755404889, 470.6643670997786, -2395.505381443106, 11.342043256192119, -44.8415676565563, -45.02745608078437, 91.54867721469488, 91.55818569510272, 1788.7350829226928, 1748.9993916806532, 11.361522157666268, -45.36335057113534
2025 OCT 07 05:02:17, 813085406.1865193, 3529.8271155284765, 2346.351318681921, 471.56798025351463, -2395.456988412038, 11.363872455400351, -44.83931634109111, -45.026290831328204, 91.50116259134155, 91.51095286687989, 1785.0426911474538, 1746.0356201448699, 11.38294156445886, -45.3559556670075
2025 OCT 07 05:02:18, 813085407.1886069, 3523.2482486017952, 2346.2336925081936, 472.47194917210896, -2395.3948127983235, 11.385643837870587, -44.83673729010491, -45.024793682921796, 91.45383145205349, 91.46333273611371, 1781.3696404465986, 1743.052410713533, 11.404330710808688, -45.34856195819374
2025 OCT 07 05:02:19, 813085408.1906946, 3516.6667467349553, 2346.1048822980106, 473.3739499186079, -2395.3435027274413, 11.407420840015371, -44.83442319808525, -45.0235582229015, 91.40611716894354, 91.41588992430896, 1777.6807671989584, 1740.084933856267, 11.42568973662761, -45.341169436394026
2025 OCT 07 05:02:20, 813085409.1927823, 3510.08261661658, 2345.989865935979, 474.2762980773617, -2395.278429690194, 11.429139612694973, -44.8317819005697, -45.02199135586078, 91.35858559096374, 91.36805820294147, 1774.011220257565, 1737.0980482861526, 11.447018622287885, -45.33377810390785
2025 OCT 07 05:02:21, 813085410.19487, 3503.4958640684363, 2345.8637281158817, 475.17669696846974, -2395.2241601164565, 11.450864306598756, -44.82940409163758, -45.02068467275963, 91.31067019847781, 91.32040227793615, 1770.3259511785102, 1734.12681133321, 11.468317527218414, -45.326387956561675
2025 OCT 07 05:02:22, 813085411.1969576, 3496.9064953414104, 2345.738780783021, 476.076288036492, -2395.1685546897743, 11.472563380863088, -44.82699791495221, -45.019345843596476, 91.2626497792792, 91.2726425439548, 1766.6422879751144, 1731.1539036313209, 11.48958650789499, -45.318998981170715
2025 OCT 07 05:02:23, 813085412.1990453, 3490.3145155844736, 2345.6279219382523, 476.976248130774, -2395.098899524369, 11.494202887030688, -44.824257720624246, -45.01766873241324, 91.21481825912345, 91.22448423762583, 1762.9783812142832, 1728.1611810701663, 11.51082565000288, -45.311611186225804
2025 OCT 07 05:02:24, 813085413.201133, 3483.719930680231, 2345.5057313939856, 477.87425917258906, -2395.0402545206143, 11.515849550773794, -44.82178602434463, -45.01625676798845, 91.16659486516248, 91.17650625103514, 1759.2984738621738, 1725.1844092147658, 11.532035011215173, -45.30422455970985
2025 OCT 07 05:02:25, 813085414.2032207, 3477.1227473986255, 2345.3975332249142, 478.7726273189423, -2394.9676567551523, 11.537436526539862, -44.81898270479915, -45.01450887913061, 91.11855775250254, 91.12812986727104, 1755.6381986430686, 1722.1879646970547, 11.553214749219803, -45.296839095417795
2025 OCT 07 05:02:26, 813085415.2053083, 3470.5229715417663, 2345.278153682885, 479.66907417240236, -2394.9059204157775, 11.559030746289558, -44.816444327279285, -45.013022545019446, 91.07013010086891, 91.07993018946905, 1751.9621475267334, 1719.2072633860337, 11.574364867185416, -45.28945479971037
2025 OCT 07 05:02:27, 813085416.207396, 3463.92060795917, 2345.172634014798, 480.5658587741999, -2394.830364900139, 11.58056516233124, -44.813577600517306, -45.01120352631382, 91.02188535298923, 91.0313331053446, 1748.3055511096554, 1716.207081838746, 11.595485477235801, -45.282071660040614
2025 OCT 07 05:02:28, 813085417.2094837, 3457.315663430104, 2345.0561244841424, 481.46075487857854, -2394.76548121824, 11.602106822563885, -44.81097128425241, -45.009641486639, 90.97325221583863, 90.98290805631416, 1744.6334601655053, 1713.2223783048037, 11.616576662148146, -45.27468966729075
2025 OCT 07 05:02:29, 813085418.2115715, 3450.708143809926, 2344.940945835901, 482.3548718618549, -2394.6991268419924, 11.623622616198144, -44.80833349668102, -45.00804407414763, 90.92451280175638, 90.93437218549124, 1740.963212470831, 1710.2358233909863, 11.637638500140667, -45.26730883055251
