# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 NOV 01 12:33:54, 815272503.1825213, 1761.1203004760582, 128.8911518404536, 566.7032561680312, -3326.398263767242, 77.18660527677699, -79.9874738618019, -80.0897992395452, 69.62477758728319, 69.63388986899503, 1030.189982371254, 847.301724882996, 71.51833294275043, -81.047238119903
2025 NOV 01 12:33:55, 815272504.1841908, 1755.8386325946299, 126.75957810784463, 566.0136207845353, -3326.595248040498, 77.37681127620291, -80.00734030934312, -80.1094616661858, 69.55006121794645, 69.55893263125415, 1027.2055870276752, 845.566762816863, 71.75762295970173, -81.0626693565341
2025 NOV 01 12:33:56, 815272505.1858603, 1750.5564932168018, 124.63546742876295, 565.3122978358606, -3326.7924160737875, 77.56679523589148, -80.02726450612008, -80.12918130801621, 69.47445591408409, 69.4842986687765, 1024.2092337136526, 843.8457465962058, 71.99770115593114, -81.07793915365625
2025 NOV 01 12:33:57, 815272506.1875297, 1745.273895524675, 122.5033691550981, 564.626783485786, -3326.9857254036247, 77.75863691717576, -80.04683756867878, -80.1485530353021, 69.39911460834354, 69.40869786031529, 1021.2307232456621, 842.1089011136171, 72.23856280575788, -81.09304678407432
2025 NOV 01 12:33:58, 815272507.1891991, 1739.9908498689836, 120.3711058601551, 563.9431510555839, -3327.177224347649, 77.95128021118146, -80.06626518599754, -80.16778065678318, 69.32345082902626, 69.33277969913647, 1018.2549799014452, 840.3713284503974, 72.48020298567694, -81.10799149328247
2025 NOV 01 12:33:59, 815272508.1908686, 1734.7073678690103, 118.23867306585336, 563.2614066934822, -3327.3669131799593, 78.14472416613708, -80.08554654524399, -80.18686336238432, 69.24746243754059, 69.25654185707194, 1015.282025150141, 838.6330342894187, 72.72261687323225, -81.12277257598612
2025 NOV 01 12:34:00, 815272509.192538, 1729.423462742821, 116.10606822176638, 562.5815568094233, -3327.5547920518784, 78.33896754237328, -80.10468081572927, -80.20580032966016, 69.17114722561537, 69.17998220242596, 1012.3118806885122, 836.8940255050426, 72.96579933295753, -81.13738931066312
2025 NOV 01 12:34:01, 815272510.1942074, 1724.1391458926566, 113.98094051470075, 561.8901083883302, -3327.742854761492, 78.53299140716136, -80.12387055186412, -80.22479224504663, 69.09392373727617, 69.1037438869819, 1009.3299531908644, 835.16892313625, 73.20974515829577, -81.1518409886064
2025 NOV 01 12:34:02, 815272511.195877, 1718.854428950731, 111.84778431843078, 561.2144351642114, -3327.9270613830845, 78.72885836818998, -80.14270314289591, -80.24343030498176, 69.01696208787476, 69.02651858912888, 1006.3658927560855, 833.4281031149719, 73.45444905115731, -81.1661268929474
2025 NOV 01 12:34:03, 815272512.1975464, 1713.5693253535517, 109.71445020757656, 560.5406681293337, -3328.1094595560025, 78.92551998367145, -80.16138623996477, -80.26192024555421, 68.93966687745949, 68.94896498203009, 1003.4046985269748, 831.6865963487459, 73.699905420605, -81.1802463193817
