# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 DEC 14 14:12:14, 818993603.1834277, 813.9013664486034, 1419.6101028444127, -400.34938413936953, -3041.1658069992063, -15.749174784246273, -63.889653162570795, -64.12654169184722, 46.148412399326446, 46.156129107674445, 603.8317938248979, 522.1801903403036, -16.549834199922973, -63.8747923067235
2025 DEC 14 14:12:15, 818993604.1850971, 813.656418288622, 1417.2721708595463, -398.68343693396656, -3042.459462084212, -15.711471478304988, -63.940749171110724, -64.17732114454572, 46.15805307331292, 46.16569939084082, 603.2783236778514, 522.254826718449, -16.508976630082834, -63.92832175234966
2025 DEC 14 14:12:16, 818993605.1867666, 813.4125839999186, 1414.932361424304, -397.0163766000013, -3043.750897511585, -15.673607533167461, -63.991852559471496, -64.22810706256, 46.16767555626626, 46.17525183132104, 602.726583680273, 522.3293547071945, -16.46794135041857, -63.98184418134491
2025 DEC 14 14:12:17, 818993606.188436, 813.1698635434159, 1412.5906761231513, -395.3482029000203, -3045.0401093256837, -15.635581904913026, -64.04296323825294, -64.2788993621305, 46.17727980296447, 46.184786478153114, 602.176574949859, 522.4037732131549, -16.426727350015785, -64.0353594760711
2025 DEC 14 14:12:18, 818993607.1901054, 812.9282615107412, 1410.2471161512108, -393.67891451008467, -3046.3270938892533, -15.597393504418365, -64.09408113503896, -64.32969797141132, 46.186865879509945, 46.194303373992156, 601.6283032971356, 522.4780829073724, -16.38533358681911, -64.08886753756371
2025 DEC 14 14:12:19, 818993608.191775, 812.6877779555228, 1407.901685295118, -392.0085088243962, -3047.6118465422414, -15.559041158122763, -64.14520613630084, -64.38050277750241, 46.19643385555525, 46.203802530453224, 601.0817698973897, 522.5522844390966, -16.343758871494376, -64.14236824333234
2025 DEC 14 14:12:20, 818993609.1934444, 812.4484143778894, 1405.5543842374775, -390.33698571541055, -3048.8943637294306, -15.520523809686033, -64.19633816655045, -64.43131371044534, 46.20598370906741, 46.21328412350887, 600.5369775363365, 522.6263765939049, -16.302002210767977, -64.19586148251771
2025 DEC 14 14:12:21, 818993610.1951139, 812.2101706529664, 1403.2101514461733, -388.67857597218733, -3050.170604862328, -15.482328199297756, -64.24731578061252, -64.48197031827422, 46.21422261637271, 46.224192494227474, 599.982668563753, 522.7116175374069, -16.260062444783006, -64.2493471437532
2025 DEC 14 14:12:22, 818993611.1967833, 811.9730515382266, 1400.859058200734, -387.0046921420527, -3051.4486937623183, -15.443474578517309, -64.29846348288883, -64.53279511385264, 46.223747503659794, 46.233624990745454, 599.441467902747, 522.785390714926, -16.217938464322387, -64.30282510043808
2025 DEC 14 14:12:23, 818993612.1984527, 811.7370553372491, 1398.5172463806498, -385.32490291957896, -3052.72008559168, -15.404153439252466, -64.34971556532626, -64.58356182937783, 46.23323078720929, 46.243064806855244, 598.9018183378589, 522.8592552071939, -16.175629093272217, -64.35629523306773
